text	category
Teenager Suvir Mirchandani Shows US Government How To Save £240 Million  ...	t
2014 Mercedes-Benz B-Class Electric Drive Priced From $41450	t
AMERICAN IDOL: RECAP FOR MAY 8, 2014	e
AAA Michigan: Gas prices fall about 9 cents in past week; statewide average is  ...	t
The Sentinels Attack in This Opening Battle from 'X-Men: Days of Future Past  ...	e
The Colbert Report To Reveal New Marvel Comic	e
eBay data breach under investigation by Florida Attorney General	t
Justin Bieber Blackmailed! You Won't Believe How Much $$$ This Extortionist  ...	e
Federal Appeals Court Upholds Rajat Gupta Conviction	b
Michael Jackson's fortunes growing five years after death	e
Sisaundra Lewis – Don't Let The Sun Go Down On Me – The Voice Top 12 Live  ...	e
Dropcam acquired by Google Nest	t
Baby Gates Could Lead To The ER, New Study Says	m
Fed intends to keep interest rates low long after tapering ends	b
Existing Home Sales Rebound, Inventory Increases	b
Canadian teen tries to exploit Heartbleed vulnerability, arrested	t
US, UK advise netizens to avoid Internet Explorer	t
"RECAP: Game of Thrones, ""First of His Name"""	e
NASA testing 'flying saucer' to land heavy payloads on Mars	t
A German magazine is reporting that families that control Fiat and Volkswagen  ...	b
VIDEO: Jane Goodall on Disneynature's 'Bears' Film	e
Woman dies of apparent overdose at Coachella festival	e
Don't use Internet Explorer, warns US government	t
VOICE VIEWS: Josh Kaufman scores controversial victory on The Voice	e
Google's self-driving cars hit city streets	t
Paul McCartney apologises as mystery illness forces him to cancel gigs	e
Jada Pinkett-Smith defends Willow Smith, shirtless Moises Arias photo	e
Hummus, walnuts at Trader Joe's, Target recalled over possible listeria	m
Target CEO steps down in aftermath of customer data breach	b
Tablet glee dips: Apple and Samsung battle budget slates	t
Saldanha went deep into the Amazon for 'Rio 2'	e
Apple Inc., Google Inc Maps Spat Spills Over To CarPlay	t
Profile: The 50 Year Limited Edition 2015 Ford Mustang	t
CURRENCIES: Pound Spikes On Rate-hike Talk	b
A foreign health worker died of MERS and five others were infected in UAE	m
Lovely first teaser for the Peanuts movie	e
