text	y
MARIA	B_H
TEIVERLAURMina	B_Y
olen	B_V
veel	B_D
noor	B_A
…	B_Y
MARIA	B_H
TEIVERLAUR	O_H
(	B_Z
1955	B_N
)	B_Z
on	B_V
meditsiinipsühholoog	B_S
,	B_Z
Jämejala	B_S
Psühhiaatriahaigla	I_S
psühholoogia	I_S
kabineti	I_S
juhataja	O_S
.	B_Z
""
Viljandi	B_H
Kultuurikolledzi	O_H
õppejõud	B_S
.	B_Z
""
Pedagoogikakandidaat	B_S
aastast	O_S
1992.	B_O
""
Teie	B_P
käest	B_S
küsitakse	B_V
,	B_Z
kui	B_J
vana	B_A
Te	B_P
olete	B_V
.	B_Z
""
Tundub	B_V
,	B_Z
et	B_J
sellele	B_P
pärimisele	B_S
on	B_V
lihtne	B_A
vastata	B_V
.	B_Z
""
Aga	B_J
võta	B_V
näpust	B_S
…	B_Y
nüüdisaja	B_S
teadus	O_S
eristab	B_V
hoopis	B_D
mitut	B_P
erinevat	B_A
vanust	B_S
,	B_Z
sealhulgas	B_D
näiteks	O_D
bioloogilist	B_A
,	B_Z
sotsiaalset	B_A
ja	B_J
psühholoogilist	B_A
.	B_Z
""
Inimese	B_S
subjektiivne	B_A
suhtumine	B_S
oma	B_P
vanusesse	B_S
on	B_V
küllaltki	B_D
erinev	B_A
.	B_Z
""
Mõnigi	B_P
eakas	B_A
inimene	B_S
võib	B_V
tunda	O_V
end	B_P
nooremana	B_C
,	B_Z
teine	B_P
vanemana	B_S
kui	B_J
elatud	B_A
aastad	B_S
näitavad	B_V
.	B_Z
""
Elus	B_S
juhtub	B_V
sageli	B_D
,	B_Z
et	B_J
inimene	B_S
peab	B_V
end	B_P
nooremaks	B_C
,	B_Z
kui	B_J
ta	B_P
tegelikult	B_D
(	B_Z
n.-ö.	B_Y
kronoloogiliselt	B_D
)	B_Z
o	B_Y
n	O_Y
.	B_Z
""
Mõned	B_P
aastad	B_S
tagasi	B_K
korraldati	B_V
katse	B_S
,	B_Z
milles	B_P
osales	B_V
83	B_N
kõrgharidusega	B_S
meest	O_S
ja	B_J
naist	B_S
vanuses	O_S
21	B_N
-	B_Z
44	B_N
aastat	B_S
.	B_Z
""
Nad	B_P
pidid	B_V
ette	B_D
kujutama	B_V
,	B_Z
et	B_J
ei	B_V
tea	O_V
oma	B_P
tõelist	B_A
vanust	B_S
,	B_Z
ning	B_J
andma	B_V
subjektiivse	B_A
hinnangu	B_S
selle	B_P
kohta	B_K
.	B_Z
""
Tulemused	B_S
näitasid	B_V
,	B_Z
et	B_J
ligi	B_K
veerandil	B_N
tegel	B_S
ik	B_Y
ja	B_J
subjektiivne	B_A
vanus	B_S
kattusid	B_V
kas	B_D
täiesti	O_D
või	B_J
piirdus	B_V
erinevus	B_S
aastaga	O_S
.	B_Z
""
Üle	B_K
poole	B_N
katsealustest	B_S
pidas	B_V
end	B_P
nooremaks	B_C
ja	B_J
umbes	B_D
viiendik	B_N
tundis	B_V
end	B_P
vanemana	B_S
,	B_Z
kui	B_J
nad	B_P
tegelikult	B_D
olid	B_V
.	B_Z
Nooruse	B_S
saladusedSubjektiivne	B_A
arvamus	B_S
oma	B_P
vanuse	B_S
kohta	B_K
on	B_V
üsna	B_D
oluline	B_A
,	B_Z
sest	B_J
