description,selection_count,percentage
Number of matched entries:,1,0
Number of entries with single source:,11432,100
Number of entries with measurement unit:,8897,78
Number of entries with measurement time:,11417,100
Number of rows:,11433,100
Number of unmatched entries:,0,0
Number of timeseries components:,176,2
Number of timeseries:,79,1
Number of theoretically unmatchable entries based on value:,0,0
Number of LOINCED entries with with time and measurement unit:,8415,74
Number of LOINCED entries:,10317,90
Number of theoretically unmatchable entries based on counts:,,
