_token_,_type_
string,string
TA,DOSE_QUANTITY_UNIT
ta,DOSE_QUANTITY_UNIT
AN ,DOSE_QUANTITY_UNIT
an ,DOSE_QUANTITY_UNIT
YH,DOSE_QUANTITY_UNIT
yh,DOSE_QUANTITY_UNIT
TI,DOSE_QUANTITY_UNIT
ti,DOSE_QUANTITY_UNIT
TY,DOSE_QUANTITY_UNIT
ty,DOSE_QUANTITY_UNIT
MI,DOSE_QUANTITY_UNIT
mi,DOSE_QUANTITY_UNIT
AM,DOSE_QUANTITY_UNIT
am,DOSE_QUANTITY_UNIT
KO,DOSE_QUANTITY_UNIT
ko,DOSE_QUANTITY_UNIT
CP,DOSE_QUANTITY_UNIT
cp,DOSE_QUANTITY_UNIT
SU,DOSE_QUANTITY_UNIT
su,DOSE_QUANTITY_UNIT
SP,DOSE_QUANTITY_UNIT
sp,DOSE_QUANTITY_UNIT
tab,DOSE_QUANTITY_UNIT
tablett,DOSE_QUANTITY_UNIT
tilk,DOSE_QUANTITY_UNIT
G,DOSE_QUANTITY_UNIT
g,DOSE_QUANTITY_UNIT
%,percentage
mg,DOSE_QUANTITY_UNIT
cm,DOSE_QUANTITY_UNIT
/L,DOSE_QUANTITY_UNIT
a,time
g/L,DOSE_QUANTITY_UNIT
mm,DOSE_QUANTITY_UNIT
mmHg,DOSE_QUANTITY_UNIT
ml,DOSE_QUANTITY_UNIT
U/L,DOSE_QUANTITY_UNIT
fL,DOSE_QUANTITY_UNIT
pg,DOSE_QUANTITY_UNIT
mg/L,DOSE_QUANTITY_UNIT
kg,DOSE_QUANTITY_UNIT
g,DOSE_QUANTITY_UNIT
tk,DOSE_QUANTITY_UNIT
min,time
tbl,DOSE_QUANTITY_UNIT
mcg,DOSE_QUANTITY_UNIT
p,time
kU/L,DOSE_QUANTITY_UNIT
x',DOSE_QUANTITY_UNIT
mU/L,DOSE_QUANTITY_UNIT
TÜ,DOSE_QUANTITY_UNIT
Dsph,DOSE_QUANTITY_UNIT
h,time
µg/L,DOSE_QUANTITY_UNIT
x/min,DOSE_QUANTITY_UNIT
m/s,DOSE_QUANTITY_UNIT
ms,time
ng/mL,DOSE_QUANTITY_UNIT
/µL,DOSE_QUANTITY_UNIT
dcyl,DOSE_QUANTITY_UNIT
Dcyl,DOSE_QUANTITY_UNIT
MG,DOSE_QUANTITY_UNIT
sek,time
l/min,DOSE_QUANTITY_UNIT
dsph,DOSE_QUANTITY_UNIT
W,DOSE_QUANTITY_UNIT
l,DOSE_QUANTITY_UNIT
mm/h,DOSE_QUANTITY_UNIT
/l,DOSE_QUANTITY_UNIT
/min,DOSE_QUANTITY_UNIT
mg/l,DOSE_QUANTITY_UNIT
x´,DOSE_QUANTITY_UNIT
dB,DOSE_QUANTITY_UNIT
mmhg,DOSE_QUANTITY_UNIT
mg/p,DOSE_QUANTITY_UNIT
m/sek,DOSE_QUANTITY_UNIT
pg/mL,DOSE_QUANTITY_UNIT
mm/Hg,DOSE_QUANTITY_UNIT
HU,DOSE_QUANTITY_UNIT
IU/mL,DOSE_QUANTITY_UNIT
x`,DOSE_QUANTITY_UNIT
