[A00-B99],Teatavad nakkus- ja parasiithaigused
[C00-D48],Kasvajad
[D50-D89],Vere- ja vereloomeelundite haigused ning teatavad immuunmehhanismidega seotud haigusseisundid
[E00-E90],"Sisesekretsiooni-, toitumis- ja ainevahetushaigused"
[F00-F99],Psüühika- ja käitumishäired
[G00-G99],Närvisüsteemihaigused
[H00-H59],Silma- ja silmamanuste haigused
[H60-H95],Kõrva- ja nibujätkehaigused
[I00-I99],Vereringeelundite haigused
[J00-J99],Hingamiselundite haigused
[K00-K93],Seedeelundite haigused
[L00-L99],Naha- ja nahaaluskoe haigused
[M00-M99],Lihasluukonna ja sidekoehaigused
[N00-N99],Kuse-suguelundite haigused
[O00-O99],"Rasedus, sünnitus ja sünnitusjärgne periood"
[P00-P96],Perinataal- e sünniperioodis tekkivad teatavad seisundid
[Q00-Q99],"Kaasasündinud väärarendid, deformatsioonid ja kromosoomianomaaliad"
[R00-R99],"Mujal klassifitseerimata sümptomid, tunnused ja kliiniliste ning laboratoorsete leidude hälbed"
[S00-T98],"Vigastused, mürgistused ja teatavad muud välispõhjuste toime tagajärjed"
[U00-U99],Koodid spetsiifiliste eesmärkide jaoks
[V01-Y98],Haigestumise ja surma välispõhjused
[Z00-Z99],Terviseseisundit mõjustavad tegurid ja kontaktid terviseteenistusega
