"Kodu, puhke- ja vaba aja tegevus",None,994
"Suulae- [kurgu-] ja [nina-]neelumandlite kroonilised haigused, krooniline mandlipõletik e tonsilliit",J00-J99,528
"Tür[e]oidiit e kilpnäärmepõletik, autoimmuunne tür[e]oidiit",E00-E90,489
Oc. utr.,H00-H59,401
"Tänav ja [maan]tee, puhke- ja vaba aja tegevus",None,379
"Dermatofütoos e nahaseenhaigustu[mu]s, küünte nahaseenhaigustus e tiinea",A00-B99,250
E pneumoonia,J00-J99,235
Lampjalg (omandatud)pes planus (acquisitus),M00-M99,220
"Tür[e]otoksikoos [hüpertüreoos], tür[e]otoksikoos difuusse struumaga",E00-E90,219
Kodus puhke- või vabaaja tegevuse juures,None,211
Muu spondüloos,M00-M99,186
Oc utr,H00-H59,183
"Kodarluu ala- [distaalse] otsa murd, kinnine",S00-T98,182
Krooniline c-viirushepatiit,A00-B99,175
Viirustüükad [soolatüükad] e harilikud tüükad,A00-B99,127
Ninaverejooks e epistaks {epistaxis},R00-R99,124
"Kodu, muu töö ja tegevus",None,114
"Täielik või täpsustamata, tüsistusteta",O00-O99,113
"Tür[e]otoksikoos [hüpertüreoos], tür[e]otoksikoos toksilise hulgisõlmelise struumaga",E00-E90,111
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta II,I00-I99,111
"Emaka (v.a emakakael) muud põletikuta haigusseisundid, endomeetriumi näärmeline hüperplaasia",N00-N99,110
Oc. sin.,H00-H59,110
Somatoformne vegetatiivne düsfunktsioon,F00-F99,108
Oc. dex.,H00-H59,106
"Dermatofütoos e nahaseenhaigustu[mu]s, jalgade nahaseenhaigustus e tiinea",A00-B99,102
"Muud ja täpsustatud kohad, muu täpsustatud tegevusega",None,102
"Trepil(t) või astmetel(t) kukkumine, kodu, puhke- ja vaba aja tegevus",None,101
"Äge sinu[s]iit e ninakõrvalurkepõletik, äge ülalõuaurkepõletik e maksillaarsinu[s]iit e haimoriit",J00-J99,99
"Muud ja täpsustatud kohad, puhke- ja vaba aja tegevus",None,97
"Kodu, sportlik tegevus",None,95
"Spordi- ja kehakultuuriväljakud [asutused], sportlik tegevus",None,95
"Krooniline sinu[s]iit e ninakõrvalurkepõletik, krooniline ülalõuaurkepõletik e maksillaarsinu[s]iit e haimoriit",J00-J99,88
Oc. utr.,Z00-Z99,83
"Täpsustamata paik, muu täpsustamata tegevus",None,82
Kõigi paikmete hemangioom,C00-D48,81
-oluline käitumishäire,F00-F99,80
"Ou , silmasisese e intraokulaarse läätse olemasolu",Z00-Z99,80
"Elamisasutus, puhke- ja vaba aja tegevus",None,75
"Tööstus- ja ehituspiirkond, töötamine tasu eest, teenistus",None,75
"Krooniline sinu[s]iit e ninakõrvalurkepõletik, krooniline pansinu[s]iit",J00-J99,71
"Kodu, muu täpsustatud tegevusega",None,69
Tänaval või [maan]teel puhke- või vabaaja tegevuse juures,None,68
NYHA II,I00-I99,66
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 2,I00-I99,65
Oc sin,H00-H59,64
Oc dex,H00-H59,61
E pk,C00-D48,60
"Eostumist kaavitav [kaasaaitav] käitlus, eostumine in vitro",Z00-Z99,59
