,0,1
0,-,1223
1,ja,1026
2,hüpertooniatõbi,365
3,Südamekahjustusega,362
4,2,317
5,III,314
6,3,267
7,või,236
8,paremal,234
9,aste,225
10,ilma,223
11,1,199
12,täpsustamata,193
13,südamepuudulikkuseta,193
14,kasvaja,191
15,risk,186
16,vasakul,185
17,4,169
18,post,167
19,südamepuudulikkusega,163
20,Parema,160
21,tegevus,157
22,murd,157
23,täpsustatud,157
24,muu,156
25,muud,138
26,et,137
27,kahtlus,135
28,parem,135
29,5,127
30,IV,123
31,sündroom,123
32,Paremal,121
33,vasak,121
34,kõrge,120
35,Vasaku,117
36,Parem,117
37,opereeritud,116
38,Kahtlus,113
39,Krooniline,112
40,Muu,108
41,muude,106
42,Täpsustamata,105
43,pahaloomuline,105
44,staadium,103
45,artroos,99
46,Muud,98
47,Vasak,96
48,tõttu,95
49,organkahjustus,92
50,6,92
51,puhke-,89
52,Vasakul,88
53,Äge,85
54,puudulikkus,85
55,parema,85
56,migreen,82
57,kinnine,81
58,Autoimmuunne,78
59,olemasolu,76
60,krooniline,75
61,0,75
62,klapi,74
63,järgne,73
64,pea,73
65,vasaku,73
66,2013,70
67,kukkumine,69
68,raskusega,69
69,Peaajuinfarkt,69
70,raske,68
71,ajuarterite,67
72,kerge,65
73,läätse,64
74,puusaliigese,64
75,keskmise,62
76,2014,62
77,Kerge,61
78,piirkonnas,61
79,vaba,60
80,aja,60
81,põlveliigese,60
82,ei,58
83,7,58
84,ravi,57
85,silm,56
86,endoprotees,55
87,St,55
88,vigastatud,54
89,tasu,53
90,eest,53
91,seotud,53
92,käe,53
93,2010,53
94,2011,52
95,vasemal,52
96,haigusseisundid,51
97,stenoos,51
98,siinusrütm,51
99,2009,51
100,otsa,50
101,koos,50
102,rinna,49
103,2015,48
104,41,48
105,mõõdukas,47
106,jala,47
107,piirkond,46
108,keskmine,46
109,rebend,46
110,8,46
111,anamneesis,46
112,valu,45
113,9,45
114,põlveliiges,45
115,jalg,45
116,kulg,44
117,foonil,44
118,esmane,43
119,teadmata,43
120,2008,43
121,sõrm,43
122,Algav,42
123,40,42
124,Vasakpoolne,42
125,omandatud,41
126,2012,41
127,alusel,41
128,kahjustus,41
129,äge,40
130,ülikõrge,40
131,põlv,40
132,Esmane,40
133,Trepil,39
134,astmetel,39
135,töötamine,39
136,kardiovaskulaarne,39
137,healoomuline,39
138,distaalse,38
139,silma,38
140,tingitud,38
141,Anamneesis,38
142,käsi,38
143,39,38
144,raskusaste,37
145,sümptomitega,37
146,seisund,37
147,positiivne,37
148,osaline,37
149,emboolia,37
150,Opereeritud,37
151,Nimme,37
152,jääknähud,37
153,Riskiaste,36
154,Mõlema,36
155,Kaela,36
156,ägenemine,36
157,vorm,36
158,2007,36
159,Staadium,36
160,3.,36
161,ajuarteri,36
162,kodu,35
163,sinu,35
164,teenistus,35
165,sünnitus,35
166,Muude,35
167,10,35
168,müokardiinfarkt,35
169,parempoolne,35
170,lülivaheketaste,35
171,Kodarluu,34
172,de,34
173,2006,34
174,arvel,34
175,varustusalal,34
176,pool,33
177,OK,33
178,käel,33
179,Parempoolne,33
180,Varasem,33
181,tegevusega,32
182,mõlemad,32
183,osas,32
184,inf,32
185,paremas,32
186,tegevuse,31
187,juures,31
188,sportlik,31
189,Pahaloomuline,31
190,hoogudega,31
191,suhtes,31
192,Mõlemad,31
193,generaliseerunud,31
194,infarkt,31
195,2.,31
196,Neeru,31
197,Kombineeritud,31
198,Kokkupuude,30
199,11,30
200,hemorraagia,30
201,lisarisk,30
202,Silmasisese,30
203,II-III,30
204,Vasema,30
205,kartsinoom,30
206,aastal,30
207,2004,30
208,häired,29
209,tüsistunud,29
210,endoproteesitud,29
211,peavalu,29
212,–,29
213,2009a,29
214,tüüpi,29
215,neeruvaagna,29
216,paranenud,29
217,04,29
218,polüüp,29
219,vabaaja,28
220,tõbi,28
221,püsivate,28
222,kõõluskätise,28
223,RISK,28
224,põlve,28
225,lülivaheketta,28
226,Kahepoolne,28
227,õnnetuses,27
228,võõrkeha,27
229,kopsu,27
230,Bilateraalne,27
231,afaasia,27
232,03,27
233,protees,27
234,1.,27
235,ala-,26
236,Emaka,26
237,kohad,26
238,õlg,26
239,mainimata,26
240,Raske,26
241,mis,26
242,38,26
243,pneumoonia,25
244,Täielik,25
245,ninakõrvalurkepõletik,25
246,silmasisese,25
247,Liiklusvälises,25
248,Alajäseme,25
249,häire,25
250,spastiline,25
251,järgselt,25
252,muutused,25
253,töö,24
254,haigus,24
255,korral,24
256,nii,24
257,rebendiga,24
258,vasakus,24
259,polüneuropaatia,24
260,lahtine,24
261,konjunktiviit,24
262,Vasemal,24
263,tromboosi,24
264,eemaldatud,24
265,2010a,24
266,ülalõuaurkepõletik,23
267,pekse,23
268,laserdatud,23
269,tavaline,23
270,teeninduse,23
271,sünnitust,23
272,2005,23
273,puusaliiges,23
274,ravil,23
275,rasedus,23
276,on,23
277,ning,23
278,jalal,23
279,02,23
280,01,23
281,13a,23
282,struumaga,22
283,Keskmise,22
284,Aurata,22
285,korduv,22
286,dementsus,22
287,kodade,22
288,virvendusarütmia,22
289,hüppeliiges,22
290,algav,22
291,täielik,22
292,kirjeldatud,22
293,remissioonidega,22
294,kuluga,22
295,obstruktsioon,22
296,36,22
297,abort,22
298,liigeste,22
299,12,22
300,permanentne,22
301,tüsistusteta,21
302,haiguste,21
303,kardiovaskulaarhaigus,21
304,valud,21
305,silmad,21
306,Vasem,21
307,2001,21
308,manus,21
309,kõrgusel,21
310,adenoom,21
311,vasakpoolne,21
312,kaela,21
313,Võimalik,21
314,võimalik,21
315,haigused,20
316,Kodus,20
317,Peopesa,20
318,sidekirme,20
319,Mõõdukas,20
320,silmas,20
321,kinnitunud,20
322,16,20
323,bioprotees,20
324,remissioonis,20
325,tekkene,20
326,Mujal,20
327,klassifitseerimata,20
328,III-IV,20
329,põrutus,20
330,suitsetaja,20
331,mu,19
332,paik,19
333,juht,19
334,asutus,19
335,avalik,19
336,administratiivpiirkond,19
337,vigastus,19
338,õlavöötmes,19
339,fikseerunud,19
340,atroofiline,19
341,klass,19
342,sääre,19
343,segatüüpi,19
344,stenoosi,19
345,lühinägevus,19
346,aneemia,19
347,35,19
348,elektrilise,19
349,õlaliigese,19
350,37,19
351,geneesiga,19
352,neeru,19
353,Ebaselge,19
354,toksilise,18
355,ehituspiirkond,18
356,Uinumise,18
357,une,18
358,säilitamise,18
359,Ja,18
360,Sääreluu,18
361,testimine,18
362,Allergia,18
363,eksudatiivne,18
364,haigusseisund,18
365,Ägenemiste,18
366,infektsioon,18
367,astme,18
368,sulguse,18
369,vasema,18
370,Mao,18
371,tsüst,18
372,levis,18
373,5.,18
374,õlaliiges,17
375,Fikseerunud,17
376,jääkglaukoom,17
377,mujal,17
378,pöörlit,17
379,läbiv,17
380,tuumakae,17
381,ajal,17
382,haru,17
383,Vana,17
384,väljendunud,17
385,Klaaskeha,17
386,diski,17
387,astmes,17
388,allergia,17
389,lateraalne,17
390,lülisamba,17
391,genees,17
392,15a,17
393,tee,16
394,Elamisasutus,16
395,Lihasevalu,16
396,seniildegeneratsioon,16
397,nimmeosas,16
398,Aordiklapi,16
399,raseduse,16
400,Korduv,16
401,algusega,16
402,Seniilne,16
403,raviga,16
404,puusaliigesed,16
405,astmale,16
406,Põlve,16
407,neerupuudulikkus,16
408,Liigesevalu,16
409,Permanentne,16
410,aordi,16
411,rebendid,16
