_regex_pattern_,grammar_symbol,value,_group_,_priority_
regex,string,string,callable,callable
trijodthyronin sandoz 25 gamma,drug_name,drug_name,0,0
ketanest,drug_name,drug_name,0,0
plerixafor,drug_name,drug_name,0,0
prenoxad,drug_name,drug_name,0,0
hetastarch\+natrii chloridum,drug_name,drug_name,0,0
phenelzinum,drug_name,drug_name,0,0
pinazepamum,drug_name,drug_name,0,0
risperidon actavis 2mg,drug_name,drug_name,0,0
dicloxacillinum,drug_name,drug_name,0,0
kolekstraan,drug_name,drug_name,0,0
netilmicinum,drug_name,drug_name,0,0
amlodipine actavis,drug_name,drug_name,0,0
neerukivide lahustajad,drug_name,drug_name,0,0
ganirelixum,drug_name,drug_name,0,0
oxprenololum,drug_name,drug_name,0,0
imakrebin,drug_name,drug_name,0,0
phthalylsulfathiazole,drug_name,drug_name,0,0
cetrix 10 mg,drug_name,drug_name,0,0
rolpryna sr 8mg,drug_name,drug_name,0,0
argenti nitras,drug_name,drug_name,0,0
metildigoxin,drug_name,drug_name,0,0
methadone,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])videx($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
guanfacine,drug_name,drug_name,0,0
erythromycin\+benzoyl peroxide,drug_name,drug_name,0,0
hyaluronidasum,drug_name,drug_name,0,0
turoctocog alfa,drug_name,drug_name,0,0
mephenoxalonum,drug_name,drug_name,0,0
topiramate actavis,drug_name,drug_name,0,0
levamisole,drug_name,drug_name,0,0
meropenem teva,drug_name,drug_name,0,0
halometasoon,drug_name,drug_name,0,0
glucose braun 5%-infusionslösung,drug_name,drug_name,0,0
bactrim forte,drug_name,drug_name,0,0
paclitaxel accord 6mg/ml,drug_name,drug_name,0,0
diclophenac-anafülaksia,drug_name,drug_name,0,0
bromhexine-grindeks,drug_name,drug_name,0,0
cholini alfosceras,drug_name,drug_name,0,0
ix hüübimisfaktor,drug_name,drug_name,0,0
dultavax,drug_name,drug_name,0,0
pseudoephedrine\+dextromethorphan,drug_name,drug_name,0,0
ubichinon compositum,drug_name,drug_name,0,0
etonogestrel\+ethinylestradiol,drug_name,drug_name,0,0
pipotiazine,drug_name,drug_name,0,0
enalapril 1a pharma 5 mg,drug_name,drug_name,0,0
nelarabinum,drug_name,drug_name,0,0
ceftriaxone\+sulbactam,drug_name,drug_name,0,0
piprozolin,drug_name,drug_name,0,0
ioglycamic acid,drug_name,drug_name,0,0
magnesium citrate,drug_name,drug_name,0,0
zelboraf,drug_name,drug_name,0,0
acidum iotalamicum,drug_name,drug_name,0,0
"alkaloids, excl\. rauwolfia",drug_name,drug_name,0,0
camphora\+levomentholum\+terebinthini aetheroleum\+eucalypti aetheroleum,drug_name,drug_name,0,0
cefradinum,drug_name,drug_name,0,0
proglumide,drug_name,drug_name,0,0
fraxiparine,drug_name,drug_name,0,0
lactic acid producing organisms,drug_name,drug_name,0,0
tepadina,drug_name,drug_name,0,0
cloranololum,drug_name,drug_name,0,0
meticillin,drug_name,drug_name,0,0
calcitonin preparations,drug_name,drug_name,0,0
pethidine,drug_name,drug_name,0,0
diphtheria vaccines,drug_name,drug_name,0,0
danazolum,drug_name,drug_name,0,0
abciximabum,drug_name,drug_name,0,0
oxycodonum\+naloxonum,drug_name,drug_name,0,0
tacrolimus pharmaswiss 1mg,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])ola503($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
yttrium \(90y\) chloridum,drug_name,drug_name,0,0
vorinostatum,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])apotel($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
ranitidine,drug_name,drug_name,0,0
sulfanilamide,drug_name,drug_name,0,0
ferric hydroxide,drug_name,drug_name,0,0
albiglutidum,drug_name,drug_name,0,0
duosol koos 2mmol/l kaaliumiga,drug_name,drug_name,0,0
formic acid\+camphor,drug_name,drug_name,0,0
sitaxentan,drug_name,drug_name,0,0
chloroprocaine,drug_name,drug_name,0,0
kloropüramiin,drug_name,drug_name,0,0
permetriin\+piperonüül\+malatioon,drug_name,drug_name,0,0
hydroxyquinoline derivatives,drug_name,drug_name,0,0
mirtazapine 1a pharma 15mg,drug_name,drug_name,0,0
smallpox vaccine,drug_name,drug_name,0,0
fatty acid derivatives,drug_name,drug_name,0,0
movicol,drug_name,drug_name,0,0
norfenefriin,drug_name,drug_name,0,0
alvogyl,drug_name,drug_name,0,0
eptifibatidum,drug_name,drug_name,0,0
sodium chloride,drug_name,drug_name,0,0
histapyrrodine,drug_name,drug_name,0,0
fluocinolone acetonide,drug_name,drug_name,0,0
nifuratelum,drug_name,drug_name,0,0
olmesartan medoxomil/amlodipine sandoz,drug_name,drug_name,0,0
teised köha pärssivad ained ja ekspektorandid,drug_name,drug_name,0,0
selective estrogen receptor modulators,drug_name,drug_name,0,0
pemetrexed fresenius kabi,drug_name,drug_name,0,0
tritanrix hepb,drug_name,drug_name,0,0
ramipril comp 5/25 mg,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])xyzal($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
oksetoroon,drug_name,drug_name,0,0
7-aminonitrazepam,drug_name,drug_name,0,0
ammoniaagi 10% lahus \(nuuskpiiritus\),drug_name,drug_name,0,0
abacavir/lamivudine sandoz,drug_name,drug_name,0,0
cefixime,drug_name,drug_name,0,0
actraphane 20 penfill,drug_name,drug_name,0,0
kyprolis,drug_name,drug_name,0,0
acic-ophtal,drug_name,drug_name,0,0
amikacin,drug_name,drug_name,0,0
teised armistumist soodustavad ained,drug_name,drug_name,0,0
viraferonpeg,drug_name,drug_name,0,0
dihydroartemisininum\+piperaquini tetraphosphatum,drug_name,drug_name,0,0
xp maxamum \(orange flavoured\) pulber,drug_name,drug_name,0,0
terbinafine olainfarm 250mg,drug_name,drug_name,0,0
ubistesin,drug_name,drug_name,0,0
cyclophosphamide,drug_name,drug_name,0,0
propenidasool,drug_name,drug_name,0,0
braunoderm,drug_name,drug_name,0,0
ademetioninum,drug_name,drug_name,0,0
nasometin,drug_name,drug_name,0,0
oktenidiin/fenoksüetanool fgk,drug_name,drug_name,0,0
benzoxonii chloridum\+lidocainum,drug_name,drug_name,0,0
magneesiumiühendid,drug_name,drug_name,0,0
vigne rouge extract,drug_name,drug_name,0,0
novocaini,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])raxone($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
bifemelane,drug_name,drug_name,0,0
tesavel,drug_name,drug_name,0,0
torendo q-tab 2 mg,drug_name,drug_name,0,0
rispen 2,drug_name,drug_name,0,0
silgard,drug_name,drug_name,0,0
(^|[^A-ZÜÕÖÄa-züõöä])oxygen($|[Ii]|[^A-ZÜÕÖÄa-züõöä]),drug_name,drug_name,0,0
votrient,drug_name,drug_name,0,0
sulbutiaminum,drug_name,drug_name,0,0
fluocortolonum,drug_name,drug_name,0,0
iofendylatum,drug_name,drug_name,0,0
bisoprolool\+perindopriil,drug_name,drug_name,0,0
cycloferon,drug_name,drug_name,0,0
contact laxatives,drug_name,drug_name,0,0
dasatinib,drug_name,drug_name,0,0
iopamiro 200,drug_name,drug_name,0,0
atropine methonitrate,drug_name,drug_name,0,0
terfenadinum,drug_name,drug_name,0,0
dimethylis sulfoxidum,drug_name,drug_name,0,0
tiludronic acid,drug_name,drug_name,0,0
jodeeritud\(125i\)humaanseerumalbumiin,drug_name,drug_name,0,0
polymyxinum b\+chloramphenicolum,drug_name,drug_name,0,0
diprosalic,drug_name,drug_name,0,0
co-perindalon,drug_name,drug_name,0,0
beromun,drug_name,drug_name,0,0
mebeverine,drug_name,drug_name,0,0
selegilinum,drug_name,drug_name,0,0
sofosbuvir,drug_name,drug_name,0,0
interferon alfacon-1,drug_name,drug_name,0,0
narkodorm-n,drug_name,drug_name,0,0
amino acids\+carbohydrates\+fatty acids\+vitamins\+mineral elements,drug_name,drug_name,0,0
