_phrase_,grammar_symbol,value
callable,string,string
"('i.v.', 'solutions')",drug_name,drug_name
"('trijodthyronin', 'sandoz', '25', 'gamma')",drug_name,drug_name
"('ketanest',)",drug_name,drug_name
"('plerixafor',)",drug_name,drug_name
"('prenoxad',)",drug_name,drug_name
"('hetastarch+natrii', 'chloridum')",drug_name,drug_name
"('phenelzinum',)",drug_name,drug_name
"('pinazepamum',)",drug_name,drug_name
"('risperidon', 'actavis', '2mg')",drug_name,drug_name
"('dicloxacillinum',)",drug_name,drug_name
"('kolekstraan',)",drug_name,drug_name
"('netilmicinum',)",drug_name,drug_name
"('amlodipine', 'actavis')",drug_name,drug_name
"('neerukivide', 'lahustajad')",drug_name,drug_name
"('ganirelixum',)",drug_name,drug_name
"('oxprenololum',)",drug_name,drug_name
"('imakrebin',)",drug_name,drug_name
"('phthalylsulfathiazole',)",drug_name,drug_name
"('cetrix', '10', 'mg')",drug_name,drug_name
"('rolpryna', 'sr', '8mg')",drug_name,drug_name
"('argenti', 'nitras')",drug_name,drug_name
"('metildigoxin',)",drug_name,drug_name
"('methadone',)",drug_name,drug_name
"('videx',)",drug_name,drug_name
"('guanfacine',)",drug_name,drug_name
"('erythromycin+benzoyl', 'peroxide')",drug_name,drug_name
"('hyaluronidasum',)",drug_name,drug_name
"('turoctocog', 'alfa')",drug_name,drug_name
"('mephenoxalonum',)",drug_name,drug_name
"('topiramate', 'actavis')",drug_name,drug_name
"('levamisole',)",drug_name,drug_name
"('meropenem', 'teva')",drug_name,drug_name
"('halometasoon',)",drug_name,drug_name
"('glucose', 'braun', '5%-infusionslösung')",drug_name,drug_name
"('bactrim', 'forte')",drug_name,drug_name
"('paclitaxel', 'accord', '6mg/ml')",drug_name,drug_name
"('diclophenac-anafülaksia',)",drug_name,drug_name
"('bromhexine-grindeks',)",drug_name,drug_name
"('cholini', 'alfosceras')",drug_name,drug_name
"('ix', 'hüübimisfaktor')",drug_name,drug_name
"('dultavax',)",drug_name,drug_name
"('pseudoephedrine+dextromethorphan',)",drug_name,drug_name
"('ubichinon', 'compositum')",drug_name,drug_name
"('etonogestrel+ethinylestradiol',)",drug_name,drug_name
"('pipotiazine',)",drug_name,drug_name
"('enalapril', '1a', 'pharma', '5', 'mg')",drug_name,drug_name
"('nelarabinum',)",drug_name,drug_name
"('ceftriaxone+sulbactam',)",drug_name,drug_name
"('lipiidisisaldust', 'muutvad', 'ained')",drug_name,drug_name
"('piprozolin',)",drug_name,drug_name
"('ioglycamic', 'acid')",drug_name,drug_name
"('magnesium', 'citrate')",drug_name,drug_name
"('zelboraf',)",drug_name,drug_name
"('acidum', 'iotalamicum')",drug_name,drug_name
"('alkaloids,', 'excl.', 'rauwolfia')",drug_name,drug_name
"('tetratsükliinid',)",drug_name,drug_name
"('camphora+levomentholum+terebinthini', 'aetheroleum+eucalypti', 'aetheroleum')",drug_name,drug_name
"('cefradinum',)",drug_name,drug_name
"('proglumide',)",drug_name,drug_name
"('fraxiparine',)",drug_name,drug_name
"('lactic', 'acid', 'producing', 'organisms')",drug_name,drug_name
"('tepadina',)",drug_name,drug_name
"('cloranololum',)",drug_name,drug_name
"('meticillin',)",drug_name,drug_name
"('calcitonin', 'preparations')",drug_name,drug_name
"('pethidine',)",drug_name,drug_name
"('diphtheria', 'vaccines')",drug_name,drug_name
"('danazolum',)",drug_name,drug_name
"('abciximabum',)",drug_name,drug_name
"('oxycodonum+naloxonum',)",drug_name,drug_name
"('tacrolimus', 'pharmaswiss', '1mg')",drug_name,drug_name
"('ola503',)",drug_name,drug_name
"('yttrium', '(90y)', 'chloridum')",drug_name,drug_name
"('vorinostatum',)",drug_name,drug_name
"('apotel',)",drug_name,drug_name
"('ranitidine',)",drug_name,drug_name
"('sulfanilamide',)",drug_name,drug_name
"('ferric', 'hydroxide')",drug_name,drug_name
"('albiglutidum',)",drug_name,drug_name
"('duosol', 'koos', '2mmol/l', 'kaaliumiga')",drug_name,drug_name
"('formic', 'acid+camphor')",drug_name,drug_name
"('sitaxentan',)",drug_name,drug_name
"('chloroprocaine',)",drug_name,drug_name
"('kloropüramiin',)",drug_name,drug_name
"('permetriin+piperonüül+malatioon',)",drug_name,drug_name
"('hydroxyquinoline', 'derivatives')",drug_name,drug_name
"('mirtazapine', '1a', 'pharma', '15mg')",drug_name,drug_name
"('smallpox', 'vaccine')",drug_name,drug_name
"('fatty', 'acid', 'derivatives')",drug_name,drug_name
"('movicol',)",drug_name,drug_name
"('norfenefriin',)",drug_name,drug_name
"('alvogyl',)",drug_name,drug_name
"('eptifibatidum',)",drug_name,drug_name
"('sodium', 'chloride')",drug_name,drug_name
"('clostridium', ""histolyticum'i"", 'kollagenaas')",drug_name,drug_name
"('histapyrrodine',)",drug_name,drug_name
"('fluocinolone', 'acetonide')",drug_name,drug_name
"('nifuratelum',)",drug_name,drug_name
"('olmesartan', 'medoxomil/amlodipine', 'sandoz')",drug_name,drug_name
"('teised', 'köha', 'pärssivad', 'ained', 'ja', 'ekspektorandid')",drug_name,drug_name
"('selective', 'estrogen', 'receptor', 'modulators')",drug_name,drug_name
"('agents', 'against', 'amoebiasis', 'and', 'other', 'protozoal', 'diseases')",drug_name,drug_name
"('other', 'nutrients')",drug_name,drug_name
"('pemetrexed', 'fresenius', 'kabi')",drug_name,drug_name
"('tritanrix', 'hepb')",drug_name,drug_name
"('ramipril', 'comp', '5/25', 'mg')",drug_name,drug_name
"('xyzal',)",drug_name,drug_name
"('oksetoroon',)",drug_name,drug_name
"('7-aminonitrazepam',)",drug_name,drug_name
"('ammoniaagi', '10%', 'lahus', '(nuuskpiiritus)')",drug_name,drug_name
"('abacavir/lamivudine', 'sandoz')",drug_name,drug_name
"('cefixime',)",drug_name,drug_name
"('actraphane', '20', 'penfill')",drug_name,drug_name
"('kyprolis',)",drug_name,drug_name
"('acic-ophtal',)",drug_name,drug_name
"('amikacin',)",drug_name,drug_name
"('teised', 'armistumist', 'soodustavad', 'ained')",drug_name,drug_name
"('viraferonpeg',)",drug_name,drug_name
"('dihydroartemisininum+piperaquini', 'tetraphosphatum')",drug_name,drug_name
"('xp', 'maxamum', '(orange', 'flavoured)', 'pulber')",drug_name,drug_name
"('terbinafine', 'olainfarm', '250mg')",drug_name,drug_name
"('ubistesin',)",drug_name,drug_name
"('cyclophosphamide',)",drug_name,drug_name
"('propenidasool',)",drug_name,drug_name
"('protein', 'supplements')",drug_name,drug_name
"('braunoderm',)",drug_name,drug_name
"('ademetioninum',)",drug_name,drug_name
"('nasometin',)",drug_name,drug_name
"('potassium',)",drug_name,drug_name
"('oktenidiin/fenoksüetanool', 'fgk')",drug_name,drug_name
"('benzoxonii', 'chloridum+lidocainum')",drug_name,drug_name
"('magneesiumiühendid',)",drug_name,drug_name
"('vigne', 'rouge', 'extract')",drug_name,drug_name
"('novocaini',)",drug_name,drug_name
"('raxone',)",drug_name,drug_name
"('bifemelane',)",drug_name,drug_name
"('tesavel',)",drug_name,drug_name
"('torendo', 'q-tab', '2', 'mg')",drug_name,drug_name
"('rispen', '2')",drug_name,drug_name
"('silgard',)",drug_name,drug_name
"('oxygen',)",drug_name,drug_name
"('votrient',)",drug_name,drug_name
"('sulbutiaminum',)",drug_name,drug_name
"('fluocortolonum',)",drug_name,drug_name
"('mükobakterivastased', 'ained')",drug_name,drug_name
"('iofendylatum',)",drug_name,drug_name
"('bisoprolool+perindopriil',)",drug_name,drug_name
"('cycloferon',)",drug_name,drug_name
"('contact', 'laxatives')",drug_name,drug_name
"('antiandrogeenid',)",drug_name,drug_name
"('dasatinib',)",drug_name,drug_name
"('iopamiro', '200')",drug_name,drug_name
"('atropine', 'methonitrate')",drug_name,drug_name
"('terfenadinum',)",drug_name,drug_name
"('dimethylis', 'sulfoxidum')",drug_name,drug_name
"('tiludronic', 'acid')",drug_name,drug_name
"('jodeeritud(125i)humaanseerumalbumiin',)",drug_name,drug_name
"('polymyxinum', 'b+chloramphenicolum')",drug_name,drug_name
"('diprosalic',)",drug_name,drug_name
"('co-perindalon',)",drug_name,drug_name
"('beromun',)",drug_name,drug_name
"('mebeverine',)",drug_name,drug_name
"('selegilinum',)",drug_name,drug_name
"('sofosbuvir',)",drug_name,drug_name
"('interferon', 'alfacon-1')",drug_name,drug_name
"('narkodorm-n',)",drug_name,drug_name
"('amino', 'acids+carbohydrates+fatty', 'acids+vitamins+mineral', 'elements')",drug_name,drug_name
"('ameluz',)",drug_name,drug_name
"('pulpomixine',)",drug_name,drug_name
"('tanakan',)",drug_name,drug_name
"('clozapine', 'sandoz', '25mg')",drug_name,drug_name
"('samaarium(153sm)leksidronaam',)",drug_name,drug_name
"('taurolidinum',)",drug_name,drug_name
"('aluminii', 'clofibras')",drug_name,drug_name
"('glautsiin+efedriin',)",drug_name,drug_name
"('benzylpenicillinum', 'procainum')",drug_name,drug_name
"('patent', 'blue', 'v')",drug_name,drug_name
"('ixempra',)",drug_name,drug_name
"('digoxine',)",drug_name,drug_name
"('mycosyst',)",drug_name,drug_name
"('leucomax',)",drug_name,drug_name
"('kalii', 'iodidum')",drug_name,drug_name
"('axastrol',)",drug_name,drug_name
"('doripenem',)",drug_name,drug_name
"('guanfacinum',)",drug_name,drug_name
"('vandetanibum',)",drug_name,drug_name
"('ovulation', 'stimulants,', 'synthetic')",drug_name,drug_name
"('koksiibid',)",drug_name,drug_name
"('levomitsesiin',)",drug_name,drug_name
"('zolinza',)",drug_name,drug_name
"('eletriptanum',)",drug_name,drug_name
"('platelet', 'aggregation', 'inhibitors,', 'excl.', 'heparin')",drug_name,drug_name
"('cefazolin', 'hospira', '2g')",drug_name,drug_name
"('xylometazolinum+dexpanthenolum',)",drug_name,drug_name
"('lidaprim',)",drug_name,drug_name
"('levetiracetam', 'gsk', '750', 'mg')",drug_name,drug_name
"('jenetten',)",drug_name,drug_name
"('augumentin',)",drug_name,drug_name
"('carbetocin', 'pharmidea')",drug_name,drug_name
"('dimedrol-ubf',)",drug_name,drug_name
"('zitazonium', '30', 'mg')",drug_name,drug_name
"('cabergolinum',)",drug_name,drug_name
"('diclofenacum',)",drug_name,drug_name
"('iron', 'bivalent,', 'oral', 'preparations')",drug_name,drug_name
"('ryzodeg',)",drug_name,drug_name
"('prasteronum+estradiolum',)",drug_name,drug_name
"('kloorfenamiin',)",drug_name,drug_name
"('gadoversetamide',)",drug_name,drug_name
"('ekspektorandid',)",drug_name,drug_name
"('dropropizine',)",drug_name,drug_name
"('parcilect',)",drug_name,drug_name
"('milrinone',)",drug_name,drug_name
"('alminoprofen',)",drug_name,drug_name
"('mitteselektiivsed', 'kaltsiumikanali', 'blokaatorid')",drug_name,drug_name
"('aprotininum',)",drug_name,drug_name
"('sibutril',)",drug_name,drug_name
"('semustine',)",drug_name,drug_name
"('teduva',)",drug_name,drug_name
"('carvedilolum',)",drug_name,drug_name
"('cefazolinile',)",drug_name,drug_name
