analysis_name, parameter_name, t_lyhend
Happelis-aluseline tasakaal,ABE,aB-BE
Happe-alus tasakaal arteriaalsest verest,Anion Gap,AnionGap (K+)
Happe-alus tasakaal,Arteriaalse vere ja sissehingatava õhu hapniku osarõhkude su,aB-pO2/FiO2
Happe-alus tasakaal venoosses veres,B-pH,vB-pH
Happe-aluse tasakaal venoosses veres,B-pH,vB-pH
Happe-alustasakaal arteriaalses veres,Shunt,aB-Shunt
Happe-aluse tasakaal arteriaalses veres,Shunt,aB-Shunt
Happe-alus tasakaal,Füsioloogiline shunt art,aB-Shunt
Happe-aluse tasakaal,Füsioloogiline shunt art,aB-Shunt
Happe-alustasakaal arteriaalses veres,HCO3,aP-HCO3
Happe-aluse tasakaal arteriaalses veres,HCO3,aP-HCO3
Happe-alus tasakaal,Vesinikkarbonaat arteriaalses veres,aP-HCO3
Happe-aluse tasakaal,Vesinikkarbonaat arteriaalses veres,aP-HCO3
Happe-alus tasakaal venoosses veres,cK,"S,P-K"
Happe-alus2 tasakaal venoosses veres,cK,"S,P-K"
Kaalium ja naatrium arteriaalses veres,Kaalium,"S,P-K"
Kaalium ja naatrium arteriaalses veres,Naatrium,"S,P-Na"
Happe-alus tasakaal venoosses veres,cNa,"S,P-Na"
Happe-aluse tasakaal venoosses veres,cNa,"S,P-Na"
Happe-alus tasakaal arteriaalsest verest,cNa,"S,P-Na"
Happe-alustasakaal arteriaalses veres,p50,aB-p50
Happe-aluse tasakaal arteriaalses veres,p50,aB-p50
Happe-alus tasakaal arteriaalsest verest,pCO2,aB-pCO2
Happe-aluse tasakaal arteriaalsest verest,pCO2,aB-pCO2
Happe-aluse tasakaal arteriaalses veres,pCO2,aB-pCO2
Happe-alus tasakaal venoosses veres,pCO2,vB-pCO2
Happe-aluse tasakaal venoosses veres,pCO2,vB-pCO2
Happe-alustasakaal arteriaalses veres,pCO2t,aB-pCO2t
Happe-aluse tasakaal arteriaalses veres,pCO2t,aB-pCO2t
Happe-alus tasakaal arteriaalsest verest,pCO2t,aB-pCO2t
Happe-alus tasakaal arteriaalsest verest,pCO2 (t),aB-pCO2t
Happe-alus tasakaal arteriaalsest verest,pH,aB-pH
Happe-aluse tasakaal arteriaalsest verest,pH,aB-pH
Happe-aluse tasakaal arteriaalses veres,pH,aB-pH
Happe-alus tasakaal venoosses veres,pH,aB-pH
Happe-aluse tasakaal venoosses veres,pH,aB-pH
Happe-alustasakaal arteriaalses veres,pHt,aB-pHt
Happe-aluse tasakaal arteriaalses veres,pHt,aB-pHt
Happe-alus tasakaal arteriaalsest verest,pH (t),aB-pHt
Happe-alus tasakaal venoosses veres,pH (t),vB-pHt
Happe-alus tasakaal venoosses veres,pO2,vB-pO2
Happe-aluse tasakaal venoosses veres,pO2,vB-pO2
Happe-alus tasakaal arteriaalsest verest,pO2,aB-pO2
Happe-aluse tasakaal arteriaalsest verest,pO2,aB-pO2
Happe-aluse tasakaal arteriaalses veres,pO2,aB-pO2
Happe-alustasakaal arteriaalses veres,pO2,aB-pO2
Happe -aluse tasakaal arteriaalses veres,pO2,aB-pO2
Happe-alustasakaal arteriaalses veres,pO2t,aB-pO2t
Happe-aluse tasakaal arteriaalses veres,pO2t,aB-pO2t
Happe-alus tasakaal arteriaalsest verest,pO2t,aB-pO2t
Happe-alus tasakaal arteriaalsest verest,pO2 (t),aB-pO2t
Happe-alus tasakaal arteriaalsest verest,sO2,aB-sO2
Happe-aluse tasakaal arteriaalsest verest,sO2,aB-sO2
Happe-aluse tasakaal arteriaalses veres,sO2,aB-sO2
Happe-alus tasakaal venoosses veres,sO2,vB-sO2
Happe-aluse tasakaal venoosses veres,sO2,vB-sO2
