analysis_name,parameter_name,parameter_unit,t_lyhend,loinc_code,substrate,evidence
01.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
02.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
03.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
04.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
05.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
06.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
07.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
08.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
09.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
10.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
11.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
12.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
13.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
14.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
15.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
16.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
17.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
18.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
19.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
20.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
21.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
22.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
23.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
24.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc,14770-2,Bld,manual
24356-8 Uriini Sademe Mikroskoopia,14683-7 Kreatiniin uriinis,mmol/L,U-Crea,14683-7,Urine,manual
24356-8 Uriini Sademe Mikroskoopia,14683-7 Kreatiniin uriinis,umol/L,U-Crea,14683-7,Urine,manual
24356-8 Uriini Sademe Mikroskoopia,14956-7 Albumiin ööpäevases uriinis,mg/d,dU-Alb,14956-7,Urine,manual
24356-8 Uriini Sademe Mikroskoopia,14957-5 Albumiin uriinis,mg/L,U-Alb,14957-5,Urine,manual
24356-8 Uriini Sademe Mikroskoopia,1746-7 Albumiin liikvoris,mg/L,CSF-Alb,1746-7,CSF,manual
24356-8 Uriini Sademe Mikroskoopia,30000-4 Albumiin/kreatiniin uriinis,g/mol,U-Alb/U-Crea,30000-4,Urine,manual
24356-8 Uriini Sademe Mikroskoopia,30000-4 Albumiin/kreatiniin uriinis,mg/mmol,U-Alb/U-Crea,30000-4,Urine,manual
