parameter_name,t_yhik,t_lyhend,t_nimetus,kasutatav_nimetus,loinc_code,substrate,evidence
Aldosteroon seerumis/plasmas,ng/dL,"S,P-Aldo",Aldosteroon seerumis/plasmas,Aldosteroon,1763-2,Ser/Plas,t_nimetus + t_yhik
Aldosteroon seerumis/plasmas,pmol/L,"S,P-Aldo (pmol/L)",Aldosteroon seerumis/plasmas,Aldosteroon (pmol/L),14586-2,Ser/Plas,t_nimetus + t_yhik
Arteriaalse vere ja sissehingatava õhu hapniku osarõhkude suhe,mmHg,aB-pO2/FiO2,Arteriaalse vere ja sissehingatava õhu hapniku osarõhkude suhe,pO2/FiO2,50984-4,Bld,t_nimetus + t_yhik
Arteriaalse vere ja sissehingatava õhu hapniku osarõhkude suhe,mmHg/%,aB-pO2/FiO2%,Arteriaalse vere ja sissehingatava õhu hapniku osarõhkude suhe,pO2/FiO2%,A-4568,,t_nimetus + t_yhik
Bakterid,E6/L,U-Bact Fc,Bakterid,Bakterid,51480-2,Urine,kasutatav_nimetus + t_yhik
Bakterid,,U-Bakterid,Bakterid,Bakterid,25145-4,Urine,t_nimetus + t_yhik
Bilirubiin,umol/L,U-Bil strip,Bilirubiin,Bilirubiin,41016-7,Urine,t_nimetus + t_yhik
Bilirubiin,,U-Bil strip ord,Bilirubiin,Bilirubiin,50551-1,Urine,t_nimetus + t_yhik
Candida albicans IgG,mg/L,"S,P-m5 IgG",Candida albicans vastane IgG seerumis/plasmas,Candida albicans IgG,35530-5,Bld,kasutatav_nimetus + t_yhik
Candida albicans IgG,,"S,P-C albicans IgG",Candida albicans vastane IgG seerumis/plasmas,Candida albicans IgG,51539-5,Bld,kasutatav_nimetus + t_yhik
Candida albicans vastane IgG seerumis/plasmas,mg/L,"S,P-m5 IgG",Candida albicans vastane IgG seerumis/plasmas,Candida albicans IgG,35530-5,Bld,t_nimetus + t_yhik
Candida albicans vastane IgG seerumis/plasmas,,"S,P-C albicans IgG",Candida albicans vastane IgG seerumis/plasmas,Candida albicans IgG,51539-5,Bld,t_nimetus + t_yhik
Erütrotsüüdid,E12/L,B-RBC,Erütrotsüüdid,RBC,789-8,Bld,t_nimetus + t_yhik
Erütrotsüüdid,/hpf,U-Erütrotsüüdid,Erütrotsüüdid,Erütrotsüüdid,13945-1,Urine,t_nimetus + t_yhik
Erütrotsüütide suurusjaotuvus,%,B-RDW-CV,Erütrotsüütide suurusjaotuvus,RDW-CV,788-0,Bld,t_nimetus + t_yhik
Erütrotsüütide suurusjaotuvus,fL,B-RDW-SD,Erütrotsüütide suurusjaotuvus,RDW-SD,21000-5,Bld,t_nimetus + t_yhik
Glükoos,mmol/L,U-Gluc strip,Glükoos,Glükoos,59156-0,Urine,t_nimetus + t_yhik
Glükoos,,U-Gluc strip ord,Glükoos,Glükoos,50555-2,Urine,t_nimetus + t_yhik
Hüaliinsilindrid,E6/L,U-Cast Fc,Hüaliinsilindrid,Hüaliinsilindrid,51484-4,Urine,t_nimetus + t_yhik
Hüaliinsilindrid,/hpf,U-Hüaliinsilindrid,Hüaliinsilindrid,Hüaliinsilindrid,46135-0,Urine,kasutatav_nimetus + t_yhik
Ig fKappa,mg/L,S-Ig fKappa,Immuunglobuliini vabad kappaahelad seerumis,Ig fKappa,36916-5,Bld,kasutatav_nimetus + t_yhik
Ig fKappa,,S-Monoclon-Ig fKappa,Monoklonaalsed immuunglobuliini vabad kapaahelad seerumis,Ig fKappa,44555-1,Bld,kasutatav_nimetus + t_yhik
Ig fKappa uriinis,mg/L,U-Ig fKappa,Immuunglobuliini vabad kapaahelad uriinis,Ig fKappa uriinis,38176-4,Urine,kasutatav_nimetus + t_yhik
Ig fKappa uriinis,,U-Monoclon-Ig fKappa,Monoklonaalsed immuunglobuliini vabad kappaahelad uriinis,Ig fKappa uriinis,44604-7,Urine,kasutatav_nimetus + t_yhik
Ig fLambda,mg/L,S-Ig fLambda,Immuunglobuliini vabad lambdaahelad seerumis,Ig fLambda,33944-0,Ser/Plas,kasutatav_nimetus + t_yhik
Ig fLambda,,S-Monoclon-Ig fLambda,Monoklonaalsed immuunglobuliini vabad lambdaahelad seerumis,Ig fLambda,50978-6,Bld,kasutatav_nimetus + t_yhik
Ig fLambda uriinis,mg/L,U-Ig fLambda,Immuunglobuliini vabad lambdaahelad uriinis,Ig fLambda uriinis,38178-0,Urine,kasutatav_nimetus + t_yhik
Ig fLambda uriinis,,U-Monoclon-Ig fLambda,Monoklonaalsed immuunglobuliini vabad lambdaahelad uriinis,Ig fLambda uriinis,56481-5,Urine,kasutatav_nimetus + t_yhik
"Infliksimab (Remicade, Remsia, Inflectra) IgG QN",kU/L,"S,P-Infliximab IgG QN",Infliksimabi-vastase IgG hulk seerumis/plasmas,"Infliksimab (Remicade, Remsia, Inflectra) IgG QN",A-4587,,kasutatav_nimetus + t_yhik
"Infliksimab (Remicade, Remsia, Inflectra) IgG QN",mg/L,"S,P-Infliximab IgG QN (mg/L)",Infliksimabi-vastase IgG hulk seerumis/plasmas (mg/L),"Infliksimab (Remicade, Remsia, Inflectra) IgG QN",72623-2,Ser/Plas,kasutatav_nimetus + t_yhik
Ketokehad,mmol/L,U-Ket strip,Ketokehad,Ketokehad,59158-6,Urine,t_nimetus + t_yhik
Ketokehad,,U-Ket strip ord,Ketokehad,Ketokehad,57734-6,Urine,kasutatav_nimetus + t_yhik
Kristallid,E6/L,U-Xtal Fc,Kristallid,Kristallid,A-3561,,kasutatav_nimetus + t_yhik
Kristallid,,U-Kristallid,Kristallid,Kristallid,49755-2,Urine,t_nimetus + t_yhik
Lameepiteeli rakud,/hpf,U-Lameepiteeli rakud,Lameepiteeli rakud,Lameepiteeli rakud,11277-1,Urine,t_nimetus + t_yhik
Leukotsüüdid,E9/L,B-WBC,Leukotsüüdid,WBC,6690-2,Bld,t_nimetus + t_yhik
Leukotsüüdid,/hpf,U-Leukotsüüdid,Leukotsüüdid,Leukotsüüdid,5821-4,Urine,t_nimetus + t_yhik
Leukotsüüdid,,U-WBC strip ord,Leukotsüüdid,Leukotsüüdid,33052-2,Urine,t_nimetus + t_yhik
Lima,E6/L,U-Mucus Fc,Lima,Lima,51478-6,Urine,t_nimetus + t_yhik
Lümfotsüüdid,E9/L,B-Lümfotsüüdid #,Lümfotsüütide arv,Lümfotsüüdid,26474-7,Bld,kasutatav_nimetus + t_yhik
Lümfotsüüdid,/hpf,U-Lümfotsüüdid,Lümfotsüüdid,Lümfotsüüdid,72219-9,Urine,kasutatav_nimetus + t_yhik
Lümfotsüüdid,,XXX-Lümfotsüüdid (mb),Lümfotsüüdid,Lümfotsüüdid,A-2910,,t_nimetus + t_yhik
M-komponent 1,g/d,dU-M-spike1-Fr,Monoklonaalne komponent 1 ööpäevases uriinis,M-komponent 1,A-1838,,kasutatav_nimetus + t_yhik
M-komponent 2,g/d,dU-M-spike2-Fr,Monoklonaalne komponent 2 ööpäevases uriinis,M-komponent 2,51438-0,Urine,kasutatav_nimetus + t_yhik
M-komponent 3,g/d,dU-M-spike3-Fr,Monoklonaalne komponent 3 ööpäevases uriinis,M-komponent 3,51439-8,Urine,kasutatav_nimetus + t_yhik
MN,E9/L,pDiaF-MN#,Mononukleaarsete leukotsüütide arv peritoneaaldialüüsivedelikus,MN,74139-7,Dial fld prt,kasutatav_nimetus + t_yhik
PMN,E9/L,pDiaF-PMN#,Polümorfonukleaarsete leukotsüütide arv peritoneaaldialüüsivedelikus,PMN,A-3956,,kasutatav_nimetus + t_yhik
Protrombiini aeg plasmas,s,P-PT,Protrombiini aeg plasmas,Protrombiini aeg,5902-2,PPP,t_nimetus + t_yhik
Protrombiini aeg plasmas,,P-PT-INR,Protrombiini aeg plasmas,PT-INR,L-178,,t_nimetus + t_yhik
Pärmseened,E6/L,U-Yeast Fc,Pärmseened,Pärmseened,51481-0,Urine,kasutatav_nimetus + t_yhik
Pärmseened,,U-Pärmseened,Pärmseened,Pärmseened,5822-2,Urine,t_nimetus + t_yhik
Ribosomaalse P-proteiini vastane IgG seerumis/plasmas,kU/L,"S,P-Rib P Prot IgG QN",Ribosomaalse P-proteiini vastane IgG seerumis/plasmas,Rib P Prot IgG QN,53892-6,Bld,t_nimetus + t_yhik
Ribosomaalse P-proteiini vastane IgG seerumis/plasmas,,"S,P-Rib P Prot IgG",Ribosomaalse P-proteiini vastane IgG seerumis/plasmas,Rib P Prot IgG,45226-8,Bld,t_nimetus + t_yhik
Seleen,ug/L,S-Se,Seleen seerumis,Seleen,5724-0,Ser/Plas,kasutatav_nimetus + t_yhik
Seleen,umol/L,P-Se,Seleen plasmas,Seleen,25521-6,Ser/Plas,kasutatav_nimetus + t_yhik
Urobilinogeen,umol/L,U-Ubg strip,Urobilinogeen,Urobilinogeen,60025-4,Urine,kasutatav_nimetus + t_yhik
Urobilinogeen,,U-Ubg strip ord,Urobilinogeen,Urobilinogeen,62487-4,Urine,kasutatav_nimetus + t_yhik
Valk,g/L,U-Prot strip,Valk,Valk,50561-0,Urine,t_nimetus + t_yhik
Valk,,U-Prot strip ord,Valk,Valk,57735-3,Urine,kasutatav_nimetus + t_yhik
Vitamiin B6,nmol/L,"S,P-Vit B6",Vitamiin B6 seerumis/plasmas,Vitamiin B6,39786-9,Ser/Plas,kasutatav_nimetus + t_yhik
Vitamiin B6,ug/L,B-Vit B6,Vitamiin B6 veres,Vitamiin B6,A-3688,,kasutatav_nimetus + t_yhik
