,analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count,System,Pleural,Pericardial,SerPla,VenoseBlood,CapillaryBlood,ArterialBlood,CSF,Blood,Plasma,Serum,Urine
249,Histoloogia,nan,CSF-MN,Lokatsioon,,62,,False,False,False,False,False,False,True,False,False,False,False
306,Hematoloogilised uuringud,nan,CSF-Lümfotsüüdid,RDW%,,12,,False,False,False,False,False,False,True,False,False,False,False
337,Histoloogia,nan,CSF-Lac ,Diagnoos 1,,1,,False,False,False,False,False,False,True,False,False,False,False
471,Histoloogia,nan,CSF-CDrakupinnamarkeriteimmunofenotüpeerimineliikvorist,Diagnoos 1,,1,,False,False,False,False,False,False,True,False,False,False,False
563,Histoloogia,nan,CSF-VZV-PCR,Arhiivi number,,2,,False,False,False,False,False,False,True,False,False,False,False
580,Histoloogia,nan,CSF-TBEVIgM/PuukentsefaliidiviirusevastaneIgMliikvoris,Arhiivi number,,7,,False,False,False,False,False,False,True,False,False,False,False
610,Histoloogia,nan,CSF-aHSV1G,Diagnoos 1,,2,,False,False,False,False,False,False,True,False,False,False,False
676,Histoloogia,nan,CSF-aTBEG-IgM,Kirjeldus,,1,,False,False,False,False,False,False,True,False,False,False,False
679,Histoloogia,nan,CSF-latekstest,Arhiivi number,,5,,False,False,False,False,False,False,True,False,False,False,False
799,Histoloogia,nan,CSF-aVZVM,Diagnoos 1,,1,,False,False,False,False,False,False,True,False,False,False,False
800,Histoloogia,nan,CSFRBCErütrotsüüdidliikvoris,Diagnoos 1,,1,,False,False,False,False,False,False,True,False,False,False,False
835,Histoloogia,nan,CSF-aEntM,Diagnoos 1,,1,,False,False,False,False,False,False,True,False,False,False,False
1100,Histoloogia,nan,"CSF-HSV2-IgG,IgM",Lokatsioon,,4,,False,False,False,False,False,False,True,False,False,False,False
1166,Histoloogia,nan,CSF-Borr-G,Kirjeldus,,1,,False,False,False,False,False,False,True,False,False,False,False
1249,Histoloogia,nan,CSF-monotsüüdid,Kirjeldus,,13,,False,False,False,False,False,False,True,False,False,False,False
1363,Histoloogia,nan,CSF-aBorrG,Kirjeldus,,10,,False,False,False,False,False,False,True,False,False,False,False
1477,Histoloogia,nan,CSF-TBE_IgG,Diagnoos 1,,1,,False,False,False,False,False,False,True,False,False,False,False
1500,Histoloogia,nan,CSF-Ag,Diagnoos 1,,10,,False,False,False,False,False,False,True,False,False,False,False
1656,Histoloogia,nan,CSF-TBEV_IgM,Diagnoos 1,,2,,False,False,False,False,False,False,True,False,False,False,False
1874,Histoloogia,nan,"CSF-HSV_1,2",Arhiivi number,,1,,False,False,False,False,False,False,True,False,False,False,False
1879,Histoloogia,nan,CSF-Borr-PCR,Diagnoos 1,,2,,False,False,False,False,False,False,True,False,False,False,False
1894,Hematoloogilised uuringud,nan,CSF-VZV_IgG,RDW%,,2,,False,False,False,False,False,False,True,False,False,False,False
1913,Histoloogia,nan,CSF-Borr-M,Arhiivi number,,1,,False,False,False,False,False,False,True,False,False,False,False
1932,Hematoloogilised uuringud,nan,CSF-aHSV1G,PLCR,,2,,False,False,False,False,False,False,True,False,False,False,False
1982,Histoloogia,nan,CSF-aTBEM,Arhiivi number,,5,,False,False,False,False,False,False,True,False,False,False,False
2082,Hematoloogilised uuringud,nan,CSF-Prot,RDW%,,83,,False,False,False,False,False,False,True,False,False,False,False
2125,Histoloogia,nan,"CSF-HSV1,2-PCR",Kirjeldus,,4,,False,False,False,False,False,False,True,False,False,False,False
2127,Histoloogia,nan,CSF-aVZVG,Kirjeldus,,1,,False,False,False,False,False,False,True,False,False,False,False
2133,Hematoloogilised uuringud,nan,CSF-aEntM,PLCR,,1,,False,False,False,False,False,False,True,False,False,False,False
2257,Histoloogia,nan,CSF-AlbAlbumiinliikvoris,Kirjeldus,,3,,False,False,False,False,False,False,True,False,False,False,False
2413,Histoloogia,nan,CSF-Xan,Kirjeldus,,11,,False,False,False,False,False,False,True,False,False,False,False
2449,Histoloogia,nan,"CSF-HSV1,2_DNA",Kirjeldus,,2,,False,False,False,False,False,False,True,False,False,False,False
2464,Histoloogia,nan,CSF-TBEV_Ig_G,Lokatsioon,,2,,False,False,False,False,False,False,True,False,False,False,False
2489,Hematoloogilised uuringud,nan,CSF_B_burgdorferi_Ig_M,PLCR,,2,,False,False,False,False,False,False,True,False,False,False,False
2520,Hematoloogilised uuringud,nan,"CSF-HSV_1,2",RDW%,,1,,False,False,False,False,False,False,True,False,False,False,False
2613,Histoloogia,nan,CSF-Diff,Kirjeldus,,65,,False,False,False,False,False,False,True,False,False,False,False
2967,Histoloogia,nan,CSFa-EntG,Diagnoos 1,,1,,False,False,False,False,False,False,True,False,False,False,False
3066,Hematoloogilised uuringud,nan,CSF-IgG-ind,PLCR,,35,,False,False,False,False,False,False,True,False,False,False,False
3162,Hematoloogilised uuringud,nan,CSF-Gluk,PLCR,,4,,False,False,False,False,False,False,True,False,False,False,False
3195,Hematoloogilised uuringud,nan,CSF_B_burgdorferi_Ig_M,RDW%,,2,,False,False,False,False,False,False,True,False,False,False,False
3389,Histoloogia,nan,CSF-muudrakud,Lokatsioon,,7,,False,False,False,False,False,False,True,False,False,False,False
3390,Histoloogia,nan,CSF-Plasmarakud,Diagnoos 1,,4,,False,False,False,False,False,False,True,False,False,False,False
3509,Hematoloogilised uuringud,nan,CSF-Borrelia_PCR,RDW%,,2,,False,False,False,False,False,False,True,False,False,False,False
3705,Hematoloogilised uuringud,nan,CSF-latekstest,PLCR,,5,,False,False,False,False,False,False,True,False,False,False,False
3712,Histoloogia,nan,CSF/S-B_burgdorferi_IgG_ind,Kirjeldus,,11,,False,False,False,False,False,False,True,False,False,False,False
3850,Histoloogia,nan,CSF-WBC,Kirjeldus,,201,,False,False,False,False,False,False,True,False,False,False,False
3895,Hematoloogilised uuringud,nan,CSF-AlbAlbumiinliikvoris,RDW%,,3,,False,False,False,False,False,False,True,False,False,False,False
4009,Histoloogia,nan,CSF-aCMV_M,Lokatsioon,,1,,False,False,False,False,False,False,True,False,False,False,False
4024,Hematoloogilised uuringud,nan,CSFa-EntG,PLCR,,1,,False,False,False,False,False,False,True,False,False,False,False
4088,Hematoloogilised uuringud,nan,CSF-Borr-G,PLCR,,1,,False,False,False,False,False,False,True,False,False,False,False
4096,Histoloogia,nan,CSF-aVZVM,Arhiivi number,,1,,False,False,False,False,False,False,True,False,False,False,False
4110,Histoloogia,nan,CSF-B_burgdorferi_IgM,Lokatsioon,,9,,False,False,False,False,False,False,True,False,False,False,False
4204,Histoloogia,nan,CSF-B_burgdorferi_IgG,Lokatsioon,,13,,False,False,False,False,False,False,True,False,False,False,False
4267,Histoloogia,nan,CSF-IgGinImmuunglobuliinGindeks,Diagnoos 1,,1,,False,False,False,False,False,False,True,False,False,False,False
4544,Histoloogia,nan,CSF-aTBEG,Kirjeldus,,5,,False,False,False,False,False,False,True,False,False,False,False
4608,Histoloogia,nan,CSF-IgGindeksImmuunglobuliinGindeks,Diagnoos 1,,2,,False,False,False,False,False,False,True,False,False,False,False
4676,Histoloogia,nan,CSFWBCLeukotsüüdidliikvoris,Lokatsioon,,1,,False,False,False,False,False,False,True,False,False,False,False
4736,Hematoloogilised uuringud,nan,CSF-latekstest,RDW%,,5,,False,False,False,False,False,False,True,False,False,False,False
4737,Hematoloogilised uuringud,nan,"CSF-HSV1,2-PCR",RDW%,,4,,False,False,False,False,False,False,True,False,False,False,False
4821,Hematoloogilised uuringud,nan,CSF-TBE_IgM,RDW%,,1,,False,False,False,False,False,False,True,False,False,False,False
4841,Histoloogia,nan,CSF-WBC,Diagnoos 1,,201,,False,False,False,False,False,False,True,False,False,False,False
5189,Hematoloogilised uuringud,nan,CSF-S-IgG-ind,RDW%,,78,,False,False,False,False,False,False,True,False,False,False,False
5219,Histoloogia,nan,CSF-TBEV_IgM,Lokatsioon,,2,,False,False,False,False,False,False,True,False,False,False,False
5302,Hematoloogilised uuringud,nan,"CSF-HSV1,2_DNA",PLCR,,2,,False,False,False,False,False,False,True,False,False,False,False
5323,Histoloogia,nan,CSF-Mycob,Diagnoos 1,,1,,False,False,False,False,False,False,True,False,False,False,False
5328,Histoloogia,nan,CSF-aVZVG,Arhiivi number,,1,,False,False,False,False,False,False,True,False,False,False,False
5468,Histoloogia,nan,CSF-Basofiilid,Kirjeldus,,2,,False,False,False,False,False,False,True,False,False,False,False
5536,Hematoloogilised uuringud,nan,CSF-VZV_IgG,PLCR,,2,,False,False,False,False,False,False,True,False,False,False,False
5724,Histoloogia,nan,CSF-Bac-PCR,Arhiivi number,,10,,False,False,False,False,False,False,True,False,False,False,False
5879,Hematoloogilised uuringud,nan,CSF-Xan,RDW%,,11,,False,False,False,False,False,False,True,False,False,False,False
6074,Histoloogia,nan,"CSF-HSV2-IgG,IgM",Arhiivi number,,4,,False,False,False,False,False,False,True,False,False,False,False
6251,Histoloogia,nan,CSF-Lümfotsüüdid,Lokatsioon,,12,,False,False,False,False,False,False,True,False,False,False,False
6345,Hematoloogilised uuringud,nan,CSFRBCErütrotsüüdidliikvoris,PLCR,,1,,False,False,False,False,False,False,True,False,False,False,False
6383,Histoloogia,nan,CSF-aTBEG-IgG,Kirjeldus,,1,,False,False,False,False,False,False,True,False,False,False,False
6403,Histoloogia,nan,CSF-latekstest,Lokatsioon,,5,,False,False,False,False,False,False,True,False,False,False,False
6548,Hematoloogilised uuringud,nan,CSF-AlbAlbumiinliikvoris,PLCR,,3,,False,False,False,False,False,False,True,False,False,False,False
6558,Hematoloogilised uuringud,nan,CSF-Borr-PCR,PLCR,,2,,False,False,False,False,False,False,True,False,False,False,False
6586,Histoloogia,nan,CSF-Eosinofiilid,Kirjeldus,,1,,False,False,False,False,False,False,True,False,False,False,False
6750,Histoloogia,nan,"CSF-HSV1,2-PCR",Lokatsioon,,4,,False,False,False,False,False,False,True,False,False,False,False
6799,Hematoloogilised uuringud,nan,CSF-Borr-PCR,RDW%,,2,,False,False,False,False,False,False,True,False,False,False,False
6844,Histoloogia,nan,CSF-CDrakupinnamarkeriteimmunofenotüpeerimineliikvorist,Lokatsioon,,1,,False,False,False,False,False,False,True,False,False,False,False
6963,Hematoloogilised uuringud,nan,CSF-TBEVIgG/PuukentsefaliidiviirusevastaneIgGliikvori,RDW%,,7,,False,False,False,False,False,False,True,False,False,False,False
7093,Histoloogia,nan,CSF-aBorrG,Diagnoos 1,,10,,False,False,False,False,False,False,True,False,False,False,False
7314,Histoloogia,nan,CSF-B_burgdorferi_IgM,Arhiivi number,,9,,False,False,False,False,False,False,True,False,False,False,False
7511,Hematoloogilised uuringud,nan,CSF-aTBEG,RDW%,,5,,False,False,False,False,False,False,True,False,False,False,False
