,analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count,System,Pleural,Pericardial,SerPla,VenoseBlood,CapillaryBlood,ArterialBlood,CSF,Blood,Plasma,Serum,Urine
39,Histoloogia,nan,U-Barbarbituraadiduriinis,Diagnoos 1,,3,,False,False,False,False,False,False,False,False,False,False,True
163,Histoloogia,nan,U-Kusih.kr.Kusihappekristallid,Arhiivi number,,6,,False,False,False,False,False,False,False,False,False,False,True
165,Hematoloogilised uuringud,nan,U-Myc,RDW%,,9,,False,False,False,False,False,False,False,False,False,False,True
229,Hematoloogilised uuringud,nan,U-Lepn,RDW%,,5,,False,False,False,False,False,False,False,False,False,False,True
448,Hematoloogilised uuringud,nan,U-Uu/Up-PCR,RDW%,,4,,False,False,False,False,False,False,False,False,False,False,True
453,Histoloogia,nan,U-ProtValkkvantitatiivselt,Diagnoos 1,,444,,False,False,False,False,False,False,False,False,False,False,True
573,Histoloogia,nan,U-RBCErütrotsüüdid,Kirjeldus,,1483,,False,False,False,False,False,False,False,False,False,False,True
582,Histoloogia,nan,U-Ctr-PCR,Arhiivi number,,22,,False,False,False,False,False,False,False,False,False,False,True
606,Histoloogia,nan,U-ProtValkuriinis,Arhiivi number,,17,,False,False,False,False,False,False,False,False,False,False,True
729,Hematoloogilised uuringud,nan,U-Metmetamfetamiinuriinis,RDW%,,5,,False,False,False,False,False,False,False,False,False,False,True
843,Histoloogia,nan,U-Strepn,Diagnoos 1,,7,,False,False,False,False,False,False,False,False,False,False,True
848,Histoloogia,nan,dU-M1M-komponent1uriinis,Lokatsioon,,4,,False,False,False,False,False,False,False,False,False,False,True
897,Histoloogia,nan,dU-5-HIAA,Diagnoos 1,,2,,False,False,False,False,False,False,False,False,False,False,True
899,Histoloogia,nan,U-Trva-PCR,Arhiivi number,,12,,False,False,False,False,False,False,False,False,False,False,True
987,Hematoloogilised uuringud,nan,U-PPXpropoksüfeenuriinis,PLCR,,8,,False,False,False,False,False,False,False,False,False,False,True
1039,Histoloogia,nan,U-METmetamfetamiinuriinis,Lokatsioon,,18,,False,False,False,False,False,False,False,False,False,False,True
1130,Hematoloogilised uuringud,nan,U-Alb-elAlbumiinid(elektroforeesil),PLCR,,2,,False,False,False,False,False,False,False,False,False,False,True
1138,Hematoloogilised uuringud,nan,U-Fylfentanüüluriinis,PLCR,,10,,False,False,False,False,False,False,False,False,False,False,True
1216,Histoloogia,nan,dU-Prot-FrUriinivalkudeelektroforees,Diagnoos 1,,8,,False,False,False,False,False,False,False,False,False,False,True
1225,Hematoloogilised uuringud,nan,U-CotKotiniinuriiniskvalitatiivne,PLCR,,1,,False,False,False,False,False,False,False,False,False,False,True
1230,Histoloogia,nan,U-Sed-m.,Kirjeldus,,653,,False,False,False,False,False,False,False,False,False,False,True
1286,Hematoloogilised uuringud,nan,U-DALA,RDW%,,3,,False,False,False,False,False,False,False,False,False,False,True
1299,Histoloogia,nan,dU-Prot,Lokatsioon,,66,,False,False,False,False,False,False,False,False,False,False,True
1346,Histoloogia,nan,U-AlbAlbumiinuriinis,Kirjeldus,,106,,False,False,False,False,False,False,False,False,False,False,True
1348,Histoloogia,nan,U-TCAtritsükloantidepressandiduriinis,Arhiivi number,,11,,False,False,False,False,False,False,False,False,False,False,True
1372,Histoloogia,nan,U-Bupr,Kirjeldus,,1,,False,False,False,False,False,False,False,False,False,False,True
1408,Histoloogia,nan,U-Strepn,Arhiivi number,,7,,False,False,False,False,False,False,False,False,False,False,True
1433,Histoloogia,nan,U-Ca.fos.krKaltsiumfosfaadikristallid,Diagnoos 1,,3,,False,False,False,False,False,False,False,False,False,False,True
1458,Hematoloogilised uuringud,nan,U-uriini_autom._sademega,RDW%,,339,,False,False,False,False,False,False,False,False,False,False,True
1471,Histoloogia,nan,U-Uu+Up-PCR,Lokatsioon,,6,,False,False,False,False,False,False,False,False,False,False,True
1505,Hematoloogilised uuringud,nan,U-Mh-PCR,RDW%,,21,,False,False,False,False,False,False,False,False,False,False,True
1527,Histoloogia,nan,U-Albumiin,Arhiivi number,,1,,False,False,False,False,False,False,False,False,False,False,True
1569,Histoloogia,nan,U-KetKetokehad,Lokatsioon,,1483,,False,False,False,False,False,False,False,False,False,False,True
1679,Histoloogia,nan,U-BilBilirubiin,Lokatsioon,,1484,,False,False,False,False,False,False,False,False,False,False,True
1698,Histoloogia,nan,U-Alb-elAlbumiinid(elektroforeesil),Lokatsioon,,2,,False,False,False,False,False,False,False,False,False,False,True
1832,Histoloogia,nan,U-S-Crea-Cmõõdetav(kretiniinikliirens),Kirjeldus,,13,,False,False,False,False,False,False,False,False,False,False,True
1846,Histoloogia,nan,dU-PBGPorfobilinogeenööpäevasesuriinis,Diagnoos 1,,1,,False,False,False,False,False,False,False,False,False,False,True
1872,Histoloogia,nan,U-Gva-PCR,Lokatsioon,,2,,False,False,False,False,False,False,False,False,False,False,True
1940,Histoloogia,nan,dU-M1M-komponent1uriinis,Diagnoos 1,,4,,False,False,False,False,False,False,False,False,False,False,True
1989,Histoloogia,nan,dU-Prot_,Lokatsioon,,3,,False,False,False,False,False,False,False,False,False,False,True
2068,Hematoloogilised uuringud,nan,U-GlukGlükoosjuhuslikusuriinis,RDW%,,61,,False,False,False,False,False,False,False,False,False,False,True
2078,Histoloogia,nan,dU-CreatKreatiniinööpäevasesuriinis,Arhiivi number,,7,,False,False,False,False,False,False,False,False,False,False,True
2079,Histoloogia,nan,U-Gluc,Kirjeldus,,177,,False,False,False,False,False,False,False,False,False,False,True
2092,Histoloogia,nan,U-UbgUrobilinogeen,Arhiivi number,,1488,,False,False,False,False,False,False,False,False,False,False,True
2113,Histoloogia,nan,U-Bil.krBilirubiinikristallid,Lokatsioon,,1,,False,False,False,False,False,False,False,False,False,False,True
2121,Histoloogia,nan,U-Uricult,Diagnoos 1,,183,,False,False,False,False,False,False,False,False,False,False,True
2148,Hematoloogilised uuringud,nan,U-amyl,RDW%,,3,,False,False,False,False,False,False,False,False,False,False,True
2298,Histoloogia,nan,U-OsmolOsmolaalsusuriinis,Lokatsioon,,4,,False,False,False,False,False,False,False,False,False,False,True
2312,Histoloogia,nan,U-Cockokaiinuriinis,Arhiivi number,,3,,False,False,False,False,False,False,False,False,False,False,True
2411,Histoloogia,nan,dU-Alb,Diagnoos 1,,6,,False,False,False,False,False,False,False,False,False,False,True
2419,Histoloogia,nan,U-_Gluc_suhkur,Lokatsioon,,2,,False,False,False,False,False,False,False,False,False,False,True
2428,Histoloogia,nan,U-KetKetokehad,Arhiivi number,,1483,,False,False,False,False,False,False,False,False,False,False,True
2452,Hematoloogilised uuringud,nan,U-Bupr,RDW%,,1,,False,False,False,False,False,False,False,False,False,False,True
2471,Hematoloogilised uuringud,nan,U-Sed-m,RDW%,,6752,,False,False,False,False,False,False,False,False,False,False,True
2535,Histoloogia,nan,dU-NaNaatriumööpäevasesuriinis,Diagnoos 1,,4,,False,False,False,False,False,False,False,False,False,False,True
2557,Hematoloogilised uuringud,nan,dU-KKaaliumööpäevasesuriinis,RDW%,,4,,False,False,False,False,False,False,False,False,False,False,True
2567,Hematoloogilised uuringud,nan,U-Ngo-PCR,RDW%,,10,,False,False,False,False,False,False,False,False,False,False,True
2586,Hematoloogilised uuringud,nan,U-ProtValkuriinis(elektroforees),RDW%,,1,,False,False,False,False,False,False,False,False,False,False,True
2590,Histoloogia,nan,dU-ProtValk,Lokatsioon,,25,,False,False,False,False,False,False,False,False,False,False,True
2591,Histoloogia,nan,U-amyl,Diagnoos 1,,3,,False,False,False,False,False,False,False,False,False,False,True
2661,Histoloogia,nan,dU-ALBAlbumiinööpäevasesuriinis,Kirjeldus,,6,,False,False,False,False,False,False,False,False,False,False,True
2692,Hematoloogilised uuringud,nan,dU-AlbAlbumiinööpäevasesuriinis,PLCR,,24,,False,False,False,False,False,False,False,False,False,False,True
2791,Histoloogia,nan,U-amyl,Lokatsioon,,3,,False,False,False,False,False,False,False,False,False,False,True
2876,Histoloogia,nan,U-Bupr,Arhiivi number,,1,,False,False,False,False,False,False,False,False,False,False,True
