component,analyte,property,system,time_aspect,scale,loinc_number_array,method_typ_array
Alanine aminotransferase,ALAT,CCnc,Bld,Pt,Qn,{76625-3},{null}
Alanine aminotransferase,ALAT,CCnc,Ser/Plas,Pt,Qn,"{1742-6,1743-4,1744-2,48134-1}","{No addition of P-5'-P,With P-5'-P,null}"
Albumin,Alb,MCnc,Bld,Pt,Qn,{76631-1},{BCP}
Albumin,Alb,MCnc,Ser/Plas,Pt,Qn,"{11062-7,14014-5,14338-8,1751-7,1758-2,17844-2,18264-2,1968-7,1970-3,21058-3,2612-0,2862-1,2877-9,40046-5,40047-3,40048-1,40049-9,40050-7,40051-5,40052-3,40053-1,40054-9,40055-6,40056-4,40057-2,40058-0,40059-8,40060-6,40061-4,40062-2,40063-0,46099-8,46130-1,61151-7,61152-5,6793-4,86921-4}","{BCG,BCP,Electrophoresis,IA,Incubation.1M,Nephelometry,null}"
Alkaline phosphatase,ALP,CCnc,Ser/Plas,Pt,Qn,"{12806-6,13874-3,13875-0,16182-8,16336-0,1777-2,1778-0,1779-8,1780-6,1781-4,1782-2,20426-3,32135-6,32351-9,32352-7,33063-9,33421-9,6768-6,6769-4,71365-1,71366-9,71367-7}","{Heat stability,Levamisole inhibition,null}"
Amylase,Amyl,CCnc,Bld,Pt,Qn,{76630-3},{null}
Amylase,Amyl,CCnc,Ser/Plas,Pt,Qn,"{1798-8,1802-8,1803-6,1804-4,1805-1,1806-9,1807-7,1808-5,1809-3,2591-6,69357-2,69359-8,69360-6}",{null}
Antistreptolysin O,ASO,ACnc,Ser/Plas,Pt,Qn,{null},{null}
Aspartate aminotransferase,ASAT,CCnc,Ser/Plas,Pt,Qn,"{1920-8,30239-8,48136-6,88112-8}","{No addition of P-5'-P,With P-5'-P,null}"
Basophil,Baso,NCnc,Bld,Pt,Qn,"{26444-0,32154-7,32349-3,33785-7,34910-0,704-7,705-4}","{Automated count,Manual count,null}"
Basophil,Baso,Num,Bld,Pt,Qn,{null},{null}
Basophil,Baso,unknown,Bld,Pt,Qn,{null},{null}
Bilirubin,Bil,SCnc,Ser/Plas,Pt,Qn,"{14629-0,14630-8,14631-6,22665-4,29760-6,33899-6}",{null}
Bilirubin conjugated,Bil_conj,SCnc,Ser/Plas,Pt,Qn,{null},{null}
Calcium,Ca,SCnc,fSP,Pt,Qn,{null},{null}
Calcium,Ca,SCnc,Ser/Plas,Pt,Qn,"{12180-6,1381-3,1382-1,1383-9,13959-2,16512-6,16513-4,16514-2,16515-9,16516-7,16517-5,16519-1,16523-3,16524-1,18281-6,19072-8,1995-0,2000-8,29265-6,40223-0,40224-8,40225-5,40226-3,40227-1,40228-9,40229-7,40230-5,40231-3,40232-1,40233-9,40234-7,40235-4,40236-2,40237-0,40238-8,40239-6,40240-4,40241-2,40242-0,40243-8,40244-6,40245-3,40246-1,40247-9,57468-1,57469-9,57471-5,57473-1,57566-2,57567-0,57568-8,57569-6,59148-7}","{Calculated,ISE,null}"
Calcium ionized,iCa,SCnc,Bld,Pt,Qn,{null},{null}
Calcium ionized,iCa,SCnc,Ser/Plas,Pt,Qn,{null},{null}
Chloride,Cl,SCnc,Bld,Pt,Qn,"{2069-3,56625-7}",{null}
Chloride,Cl,SCnc,Ser/Plas,Pt,Qn,"{2075-0,54369-4}",{null}
Cholesterol,Chol,SCnc,Ser/Plas,Pt,Qn,"{14646-4,14647-2,22748-8,25371-6,26015-8,26017-4,32289-1,39469-2,54373-6,55840-3,56132-4,56133-2,56134-0,56135-7,56535-8,66126-4,69419-0,70201-9,70202-7,70203-5,70204-3,74517-4}","{Calculated,Direct assay,null}"
C-reactive protein,CRP,MCnc,Bld,Pt,Qn,{null},{null}
C-reactive protein,CRP,MCnc,cB,Pt,Qn,{null},{null}
C-reactive protein,CRP,MCnc,Ser/Plas,Pt,Qn,{null},{null}
?Creatine?,Crea,SCnc,Bld,Pt,Qn,{null},{null}
?Creatine?,Crea,SCnc,fSP,Pt,Qn,{null},{null}
?Creatine?,Crea,SCnc,Ser/Plas,Pt,Qn,{null},{null}
?Creatine?,Crea,unknown,Bld,Pt,Qn,{null},{null}
Creatine kinase,CK,CCnc,Bld,Pt,Qn,{null},{null}
Creatine kinase,CK,CCnc,Ser/Plas,Pt,Qn,"{2152-7,2153-5,2154-3,2155-0,2157-6,32673-6,6773-6}","{EIA,Electrophoresis,null}"
