parameter_unit,parameter_unit_clean,loinc_unit,evidence
mikrmol/l,umol/L,umol/L,elabor_tyhik
10x9/l,10E9/L,E9/L,manual_mapping
mmol/d,mmol/d,mmol/d,elabor_tyhik
µg/mL,ug/mL,MG/L,manual_mapping
10 9/L,10E9/L,E9/L,manual_mapping
pg/mL,pg/mL,NG/L,manual_mapping
U/L,U/L,U/L,elabor_tyhik
nmol/24H,nmol/d,nmol/d,elabor_tyhik
mmolL,mmol/L,mmol/L,elabor_tyhik
g/24 t,g/d,g/d,elabor_tyhik
g/24t,g/d,g/d,elabor_tyhik
mmol/24 h,mmol/d,mmol/d,elabor_tyhik
u/L,U/L,U/L,elabor_tyhik
mkg/l,ug/L,ug/L,elabor_tyhik
U/I,U/L,U/L,elabor_tyhik
mlU/L,mIU/L,MU/L,manual_mapping
mkmol/L,umol/L,umol/L,elabor_tyhik
pmol/L,pmol/L,pmol/L,elabor_tyhik
/100 leuko,/100WBC,/100WBC,elabor_tyhik
x10^6/l,10E6/L,E6/L,manual_mapping
10*12/L,10E12/L,E12/L,manual_mapping
x10^6 µl,10E6/uL,E6/L,manual_mapping
fL,fL,fL,elabor_tyhik
ug/l,ug/L,ug/L,elabor_tyhik
mikrog/l,ug/L,ug/L,elabor_tyhik
KU/L,kU/L,kU/L,elabor_tyhik
mmol/24t,mmol/d,mmol/d,elabor_tyhik
mmol/mol,mmol/mol,mmol/mol,elabor_tyhik
µg/ml,ug/mL,MG/L,manual_mapping
ml/min,mL/min,mL/min,elabor_tyhik
× 106/l,10E6/L,E6/L,manual_mapping
"ml/min/1,73 m2",mL/min/1.73m2,mL/min/1.73m2,elabor_tyhik
10 ^12/ L,10E12/L,E12/L,manual_mapping
x10*9/L,10E9/L,E9/L,manual_mapping
kIU/l,kIU/L,KU/L,manual_mapping
u/l,U/L,U/L,elabor_tyhik
10 12 /l,10E12/L,E12/L,manual_mapping
"mL/min1,73m3",mL/min/1.73m2,mL/min/1.73m2,elabor_tyhik
mm,mm,mm,elabor_tyhik
ng/l,ng/L,ng/L,elabor_tyhik
% (IS),%(IS),%(IS),elabor_tyhik
mg/ mmol,mg/mmol,G/MOL,manual_mapping
U / L,U/L,U/L,elabor_tyhik
mikrog/mL,ug/mL,MG/L,manual_mapping
mkg/L,ug/L,ug/L,elabor_tyhik
10\9/L,10E9/L,E9/L,manual_mapping
mM,mmHg,mmHg,elabor_tyhik
copies/ml,copies/mL,copies/mL,elabor_tyhik
D,D,d,elabor_tyhik
mL,mL,mL,elabor_tyhik
G,G,g,elabor_tyhik
deg,C,C,elabor_tyhik
m2,m2,m2,elabor_tyhik
ng/ml,ng/mL,UG/L,manual_mapping
mg/24h,mg/d,mg/d,elabor_tyhik
mosm/kg H2O,mOsm/kgH2O,mosm/kgH2O,elabor_tyhik
/pL,/pL,E12/L,manual_mapping
pg,pg,pg,elabor_tyhik
mikrog/ml,ug/mL,MG/L,manual_mapping
mmol/mol(%),%;mmol/mol,%,manual_mapping
10*12/l,10E12/L,E12/L,manual_mapping
mg/h,mg/h,mg/h,elabor_tyhik
10^6/L,10E6/L,E6/L,manual_mapping
ug/24t,ug/d,ug/d,elabor_tyhik
nmol/24h,nmol/d,nmol/d,elabor_tyhik
10\12/l,10E12/L,E12/L,manual_mapping
10*9/L,10E9/L,E9/L,manual_mapping
umol/l,umol/L,umol/L,elabor_tyhik
µg/24h,ug/d,ug/d,elabor_tyhik
mikg/L,ug/L,ug/L,elabor_tyhik
10^12/L,10E12/L,E12/L,manual_mapping
10\12/L,10E12/L,E12/L,manual_mapping
x109/l,10E9/L,E9/L,manual_mapping
mg/24 t,mg/d,mg/d,elabor_tyhik
μg/mL,μg/mL,MG/L,manual_mapping
% ; mmol/mol,%;mmol/mol,%,manual_mapping
g/,g,g,elabor_tyhik
mikrg/L,ug/L,ug/L,elabor_tyhik
g/d,g/d,g/d,elabor_tyhik
kg,kg,kg,elabor_tyhik
cm,cm,cm,elabor_tyhik
/hpf,/hpf,/hpf,elabor_tyhik
copies/mL,copies/mL,copies/mL,elabor_tyhik
mmHg/%,mmHg/%,mmHg/%,elabor_tyhik
