,analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count,System,Pleural,Pericardial,SerPla,VenoseBlood,CapillaryBlood,ArterialBlood,CSF,Blood,Plasma,Serum,Urine
4,Hematoloogilised uuringud,nan,23,2 B-GR-arv(Garnulotsüütide arv),10 l,6,,False,False,False,False,False,False,False,True,False,False,False
6,Hantaviiruse vastased IgG antikehad,nan,S2-Hanta_IgG,S2-Hanta IgG,-,4,,False,False,False,False,False,False,False,False,False,True,False
7,Kliiniline vereanalüüs,nan,RBC,RBC,,3632,,False,False,False,False,False,False,False,True,False,False,False
8,Hematoloogilised uuringud,nan,47,Monotsüüt,%,8,,False,False,False,False,False,False,False,True,False,False,False
11,"Allergiapaneel, spetsiifiliste IgE antikehade määramine (immunoblot), vereseerumist",nan,S-IgE-Spec-3,Tomat,-,6,,False,False,False,False,False,False,False,False,False,True,False
16,Ekstraheeritavate tuumaantigeenide vastane IgI seerumis (paneel),nan,66707_S-ENA-paneel,Scl 70 antikehad,<ANONYM> unit,1,,False,False,False,False,False,False,False,False,False,True,False
18,Kliiniline vereanalüüs,nan,RET-He(retikulotsüütidehemoglobiinisisaldus),RET-He ( retikulotsüütide hemoglobiini sisaldus),,4,,False,False,False,False,False,False,False,True,False,False,False
23,Kliiniline vere ja glükohemoglobiini analüüs,nan,nan,Pisarrakud,,5,,False,False,False,False,False,False,False,True,False,False,False
26,Tuumaantigeenide vastased antikehad,nan,S-aENA,S-aRNP,<ANONYM> unit,1,,False,False,False,False,False,False,False,False,False,True,False
27,Kliinilise keemia uuringud,nan,10689,S-AL(Aluseline fosfataas),U/l,89,,False,False,False,False,False,False,False,False,False,True,False
28,Inhaleeritud allergeenide vastased antikehad,nan,S-Inhal-IgE-(20),Derm.farin,-,1,,False,False,False,False,False,False,False,False,False,True,False
31,Hematoloogilised uuringud,nan,512,Monotsüütide,%,2,,False,False,False,False,False,False,False,True,False,False,False
33,Ekstraheeritavate tuumaantigeenide vastane IgG seerumis (paneel),nan,66707_S-ENA-paneel,Scl 70 antikehad,<ANONYM> unit,3,,False,False,False,False,False,False,False,False,False,True,False
34,Kliiniline vereanalüüs,nan,Lümfotsüüdid,Lümfotsüüdid,,493,,False,False,False,False,False,False,False,True,False,False,False
38,"Allergeenide segu tp9 - puuõite vastased IgE antikehad seerumis (lepp, kask, sarapuu, tamm, paju)",nan,S-atp9,nan,kU/l,2,,False,False,False,False,False,False,False,False,False,True,False
41,Luupusantikoagulandid,nan,P-LA,Normitud suhe,-,5,,False,False,False,False,False,False,False,False,True,False,False
42,Kliinilise keemia uuringud,nan,1139,S-Na 7(Naatrium),mmol/l,1,,False,False,False,False,False,False,False,False,False,True,False
44,Immuunmeetoditel uuringud,täisveri,CD3-16+ja/või56+NK-rakud,CD 3-16+ja/või 56+ NK-rakud,,4,,False,False,False,False,False,False,False,True,False,False,False
45,Autoimmuundiagnostika,nan,147144,S-NMDA Ig,,1,,False,False,False,False,False,False,False,False,False,True,False
48,Hematoloogilised uuringud,nan,7584,RDW,,14,,False,False,False,False,False,False,False,True,False,False,False
50,Vaba androgeeni indeks,nan,nan,S-FAI,,6,,False,False,False,False,False,False,False,False,False,True,False
52,Glükoosi taluvuse test-1h pärast glükoosi manustamist,nan,S-GTT-1h,GTT-1h pärast gllükoosi manustamist,mmol/L,4,,False,False,False,False,False,False,False,False,False,True,False
53,Kliiniline vereanalüüs,nan,Promüelotsüüdid,Promüelotsüüdid,,2,,False,False,False,False,False,False,False,True,False,False,False
55,ABO-veregrupi ja Rh(D) korduv määramine,nan,B-ABOd+Rh(D),Rh(D) kuuluvus,-,50,,False,False,False,False,False,False,False,True,False,False,False
59,Vereäige mikroskoopiline uuring,nan,B-Hemo-m,Provormid,%,3,,False,False,False,False,False,False,False,True,False,False,False
61,Hematoloogilised uuringud,nan,508,PDW,%,2,,False,False,False,False,False,False,False,True,False,False,False
64,"Epidermaalsete allergeenide (paneel 70: merisea, jänese, hamstri epiteel, rott, hiir) vastane IgE",nan,S-ep70_IgE,nan,kU/L,1,,False,False,False,False,False,False,False,False,False,True,False
65,D-dimeerid,nan,P-D-Di,P-D-Di,mg/L FEU,116,,False,False,False,False,False,False,False,False,True,False,False
66,Spetsiifiline IgE munavalge,nan,S2-IgE-F1,S2-IgE-F1,kU/L,2,,False,False,False,False,False,False,False,False,False,True,False
68,Immuunmeetoditel uuringud,täisveri,CandidaglabrataDNART-PCRmeetodiltäisverest,Candida glabrata DNA RT-PCR meetodil täisverest,,1,,False,False,False,False,False,False,False,True,False,False,False
69,Vere automaatuuring 5-osalise leukogrammiga,nan,B-CBC+Diff,RDW,%,230,,False,False,False,False,False,False,False,True,False,False,False
72,HDL -kolesterool,nan,S-HDL-Chol,S-HDL-Chol,mmol/l,58,,False,False,False,False,False,False,False,False,False,True,False
73,Epstein-Barr viiruse kapsiidi antigeeni vastane IgM seerumis,nan,S-EBV_VCA_IgM,S-EBV VCA IgM,Ratio,4,,False,False,False,False,False,False,False,False,False,True,False
76,Hematoloogilised uuringud,nan,50,Segmentuumseid,%,16,,False,False,False,False,False,False,False,True,False,False,False
78,Immuunmeetoditel põhinevad uuringud,nan,72201,S-HE4(Inimese munandimanuse proteiin 4),pmol/l,22,,False,False,False,False,False,False,False,False,False,True,False
79,glükoos paastuveres,nan,fB-Gluc,fB-Gluc,mmol/l,336,,False,False,False,False,False,False,False,True,False,False,False
80,Kolmiktest (AFP ja hCG ja fE3 määramine) PRISCA programmiga,nan,S-TT-PRISCA,Trisoomia 18 skriining,-,13,,False,False,False,False,False,False,False,False,False,True,False
81,Vaba Türoksiin,nan,S-_fT4,66706 S-fT4,-,80,,False,False,False,False,False,False,False,False,False,True,False
82,Tsüklilise tsitrulleritud peptiidi vastased antikehad,nan,nan,S-aCCP (Q),U/mL,1,,False,False,False,False,False,False,False,False,False,True,False
83,Valkude fraktsioonid seerumis elektroforeetiliselt,nan,S-Prot-Fr,ß2-globuliin,.,2,,False,False,False,False,False,False,False,False,False,True,False
85,Mycoplasma pneumoniae IgM antikehad,nan,S-M.pn_IgM,M.pn IgM,S/CO,20,,False,False,False,False,False,False,False,False,False,True,False
86,Hematoloogilised uuringud,nan,753,Toksogeene sõmeru,,10,,False,False,False,False,False,False,False,True,False,False,False
87,Hematoloogilised uuringud,nan,617,1 B-MPV(Trombotsüütide keskmine maht),fL,5,,False,False,False,False,False,False,False,True,False,False,False
89,Glükoos plasmas,nan,P-Gluc,P-Gluc,mmol/l,29,,False,False,False,False,False,False,False,False,True,False,False
93,CBC-5Diff Hemogramm viieosalise leukogrammiga,nan,B-CBC-5Diff,BASO#,10^9/l,866,,False,False,False,False,False,False,False,True,False,False,False
94,Vereäige mikroskoopia,nan,B1-Smear-m,Polükromaasia,-,1,,False,False,False,False,False,False,False,True,False,False,False
