_token_,_type_
string,string
TA,dose_quantity_unit
AN ,dose_quantity_unit
YH,dose_quantity_unit
TI,dose_quantity_unit
TY,dose_quantity_unit
MI,dose_quantity_unit
AM,dose_quantity_unit
ko,dose_quantity_unit
CP,dose_quantity_unit
SU,dose_quantity_unit
SP,dose_quantity_unit
tilk,dose_quantity_unit
G,dose_quantity_unit
%,percentage
mg,dose_quantity_unit
cm,dose_quantity_unit
/L,dose_quantity_unit
a,time
g/L,dose_quantity_unit
mm,dose_quantity_unit
mmHg,dose_quantity_unit
ml,dose_quantity_unit
U/L,dose_quantity_unit
fL,dose_quantity_unit
pg,dose_quantity_unit
mg/L,dose_quantity_unit
kg,dose_quantity_unit
g,dose_quantity_unit
tk,dose_quantity_unit
min,time
tbl,dose_quantity_unit
mcg,dose_quantity_unit
p,time
kU/L,dose_quantity_unit
x',dose_quantity_unit
mU/L,dose_quantity_unit
TÜ,dose_quantity_unit
Dsph,dose_quantity_unit
h,time
µg/L,dose_quantity_unit
x/min,dose_quantity_unit
m/s,dose_quantity_unit
ms,time
ng/mL,dose_quantity_unit
/µL,dose_quantity_unit
dcyl,dose_quantity_unit
Dcyl,dose_quantity_unit
MG,dose_quantity_unit
sek,time
l/min,dose_quantity_unit
dsph,dose_quantity_unit
W,dose_quantity_unit
l,dose_quantity_unit
mm/h,dose_quantity_unit
/l,dose_quantity_unit
/min,dose_quantity_unit
mg/l,dose_quantity_unit
x´,dose_quantity_unit
dB,dose_quantity_unit
mmhg,dose_quantity_unit
mg/p,dose_quantity_unit
m/sek,dose_quantity_unit
pg/mL,dose_quantity_unit
mm/Hg,dose_quantity_unit
HU,dose_quantity_unit
IU/mL,dose_quantity_unit
x`,dose_quantity_unit
cc,dose_quantity_unit
ng/L,dose_quantity_unit
Hz,dose_quantity_unit
mg/ml,dose_quantity_unit
sm,dose_quantity_unit
xp,dose_quantity_unit
bpm,dose_quantity_unit
gr,dose_quantity_unit
mU/l,dose_quantity_unit
Gy,dose_quantity_unit
MET,dose_quantity_unit
ng/ml,dose_quantity_unit
db,dose_quantity_unit
mL,dose_quantity_unit
mmHG,dose_quantity_unit
BPM,dose_quantity_unit
tü,dose_quantity_unit
SD,dose_quantity_unit
cyl,dose_quantity_unit
cm/s,dose_quantity_unit
üh,dose_quantity_unit
W/kg,dose_quantity_unit
mkg,dose_quantity_unit
ü,dose_quantity_unit
MBq,dose_quantity_unit
ml/m²,dose_quantity_unit
x/p,dose_quantity_unit
mIU/L,dose_quantity_unit
km,dose_quantity_unit
yrs,dose_quantity_unit
cm²,dose_quantity_unit
g/p,dose_quantity_unit
mV,dose_quantity_unit
IU/ml,dose_quantity_unit
RÜ,dose_quantity_unit
l/m,dose_quantity_unit
MCG,dose_quantity_unit
*C,dose_quantity_unit
ug/L,dose_quantity_unit
x’,dose_quantity_unit
Pd,dose_quantity_unit
ug,dose_quantity_unit
DSph,dose_quantity_unit
ppb,dose_quantity_unit
s/min,dose_quantity_unit
ug/l,dose_quantity_unit
IU,dose_quantity_unit
w/kg,dose_quantity_unit
at,dose_quantity_unit
DCyl,dose_quantity_unit
