,0,1,2
0,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 2,I00-I99,65
1,Riskiaste 2,I00-I99,58
2,Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega; Riskiaste 2,I00-I99,37
3,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 3,I00-I99,34
4,Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega; Riskiaste 3,I00-I99,31
5,F70.1   olulise käitumishäirega,None,28
6,. Hemokromatoos (homosügoot C282Y),E00-E90,26
7,Rauaainevahetuse häired.  (homosügoot C282Y),E00-E90,26
8,Glomeerulite haigusseisundid melliitdiabeedi korral (e10-e14 ühise neljanda tärgiga.2),N00-N99,24
9,I11.9  Südamekahjustusega hüpertooniatõbi. Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta,I00-I99,21
10,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta Risk-2,I00-I99,20
11,L5 radikulopaatia paremal,M00-M99,17
12,Riskiaste 3,I00-I99,17
13,Riskiaste 1,I00-I99,16
14,Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 1,I00-I99,15
15,. Parema puusaliigese endoprotees ( 2005 ),Z00-Z99,14
16,G25.0  Muud ekstrapüramidaal- ja liigutushäired.,G00-G99,14
17,G25.0  . Essentsiaalne treemor,G00-G99,14
18,L5 radikulopaatia vasakul,M00-M99,13
19,S1 sin,M00-M99,13
20,1b genotüüp,A00-B99,12
21,IVF. Gravid in hebd 6,Z00-Z99,12
22,L5 vasakul,M00-M99,11
23,"Th 6-11 paravertebraalne perifeerne primitiivne neuroektodermaalne tuumor/ekstraossaalne Ewingi sarkoom ; c T2 N0 M1B IVBst
Th 6-11 paravertebraalne perifeerne primitiivne neuroektodermaalne tuumor/ekstraossaalne Ewingi sarkoom",C00-D48,10
24,Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega; 3,I00-I99,10
25,Adenocarcinoma  prostatae GS 3+4=7,C00-D48,10
26,F71.1   oluliste käitumishäiretega,None,10
27,HPV 16,A00-B99,9
28,"HPV kõrge riski (31,33,35,39,45,51,52,56,58,59,66,68) DNA Positiivne",A00-B99,9
29,S1 vasakul,M00-M99,9
