,0,1,2
0,Muu spondüloos,M00-M99,186
1,"Täielik või täpsustamata, tüsistusteta",O00-O99,113
2,Somatoformne vegetatiivne düsfunktsioon,F00-F99,108
3,"Kodu, sportlik tegevus",None,95
4,Kõigi paikmete hemangioom,C00-D48,81
5,-oluline käitumishäire,F00-F99,80
6,"Kodu, muu täpsustatud tegevusega",None,69
7,Kerge depressioon,F00-F99,55
8,Keskmise raskusega,G00-G99,47
9,Nimme-ristluu piirkond,None,40
10,Krooniline kõripõletik,J00-J99,40
11,"Nimmelülimurd, kinnine",S00-T98,37
12,"Mittetäielik, tüsistusteta",O00-O99,36
13,"Preproliferatiivne,osaliselt laserdatud",None,35
14,Tänav ja [maan]tee,V01-Y98,34
15,Ebastabiilne isiksus,F00-F99,32
16,Vasak õlg,M00-M99,32
17,Põlveõndla limapaunatsüst [baker],M00-M99,30
18,Autoimmuunne türeoidiit,E00-E90,30
19,Anaemia gravidarum,O00-O99,30
20,"Orgaanilised meeleoluhäired, orgaaniline de",None,28
21,Vasaku põlveliigese artroos.,M00-M99,27
22,"Vitrektoomiajärgne, vesivedelik klaaskeharuumis",H00-H59,27
23,"Kodu, muu täpsustamata tegevus",None,27
24,Liiklusvälises õnnetuses vigastatud juht,V01-Y98,27
25,Ovulatsiooniaegne valu {mittelschmerz},N00-N99,26
26,Krooniline migreen,G00-G99,26
27,Vasak pool,M00-M99,25
28,Vasaku põlveliigese endoprotees,Z00-Z99,25
29,Parem õlg,M00-M99,25
30,Täpsustamata reuma,M00-M99,24
31,Rinnaosa piirkond,None,24
32,Parema põlveliigese artroos.,M00-M99,24
33,Mõõdukas depressioon,F00-F99,24
34,Muud ja täpsustatud kohad,V01-Y98,24
35,Kergekujuline rasedusaegne iiigoksendamine,O00-O99,23
36,"Reieluukaela-murd, kinnine",S00-T98,23
37,Kanna- [ahilleuse]kõõluse vigastus,S00-T98,23
38,Parem pool,M00-M99,23
39,Rinnaosa-nimme piirkond,None,22
40,"Rangluumurd, kinnine",S00-T98,22
41,Pahaloomuline kasvaja,C00-D48,22
42,"Sõltuvus, käesolevalt kaine",F00-F99,22
43,Bakteriaalne vaginoos,N00-N99,22
44,Parem põlv,M00-M99,21
