,0,1
0,kongestiivse,361
1,Grav,190
2,hebd,144
3,oidiit,88
4,Ruptura,76
5,bilateralis,73
6,Status,63
7,otoksikoos,61
8,bilat,61
9,uteri,61
10,radikulopaatia,59
11,Gonarthrosis,58
12,radikulopaatiaga,56
13,sanata,53
14,genus,53
15,intraokulaarse,50
16,coli,48
17,seniilkatarakt,47
18,Laesio,46
19,Arthrosis,44
20,hemiparees,44
21,Mitraal,42
22,mammae,40
23,grav,40
24,genu,39
25,Cysta,39
26,partus,39
27,labii,37
28,cruris,37
29,Aterosklerootiline,35
30,dextri,35
31,Insuff,34
32,Fractura,33
33,ovarii,33
34,prolaps,32
35,haigussesundid,32
36,hüpotüreoos,30
37,Paroksüsmaalne,30
38,stent,30
39,Coxarthrosis,30
40,Carcinoma,30
41,paroksüsmaalne,29
42,vaginae,29
43,menisci,29
44,cordis,29
45,operata,29
46,medialis,28
47,Cicatrix,28
48,femoris,28
49,osteo,28
50,kardio,28
51,coxae,27
52,Adenocarcinoma,27
53,colli,27
54,Väljapöörd-suurvarvas,27
55,retinopaatia,27
56,Radikulopaatia,27
57,D-hüpovitaminoos,26
58,lateralis,25
59,prostatae,24
60,oklusioon,24
61,pneumoniae,24
62,maksillaarsinu,23
63,malleooli,23
64,distorsioon,23
65,distensioon,23
66,kardioversiooniga,23
67,haimoriit,22
68,kontraktuur,22
69,paatia,21
70,sinistri,21
71,Contractura,21
72,Graviditas,21
73,spondüloos,20
74,fibromatoos,20
75,Bursitis,20
76,cervicalis,20
77,humeroscapularis,20
78,proksimaalse,19
79,myop,19
80,adenokartsinoom,19
81,endoproteesimine,19
82,osin,19
83,insomniad,18
84,aeruginosa,18
85,susp,18
86,persisteeriv,18
87,kontusioon,18
88,Dupuytreni,18
89,malleoli,18
90,Radiculopathia,18
91,partialis,18
92,maan,17
93,arthroplasticam,17
94,residuaal- e,17
95,Pertrohhanteerne,17
96,nukleaarkatarakt,17
97,pylori,17
98,inferioorne,17
99,simplex,16
100,müalgia,16
101,mucosae,16
102,Makula,16
103,lumbalis,16
104,paroksüsmid,16
105,atriorum,16
106,duktaalkartsinoom,16
107,Võrkkestairre,16
108,Persistens,16
109,radii,16
110,hüpertüreoos,15
111,gravidarum,15
112,suspectu,15
113,(-lilt,15
114,entesopaatiad,15
115,Osteochondrosis,15
116,Arthralgia,15
117,Fibrillatio,15
118,humeri,15
119,transmuraalne,15
120,odex,15
121,talocruralis,15
122,Dekompensatsioon,15
123,epikondüliit,15
124,Persisteeriv,15
125,[-diafüüsi,14
126,ekstrasüstoolia,14
127,sinistra,14
128,Syndroma,14
129,korneas,14
130,harjaülise,14
131,anterioorne,14
132,cerebri,14
133,Võrkkestairdeta,14
134,nefropaatia,14
135,myopicus,14
136,hulgisõlmelise,13
137,Anaemia,13
138,vaskulaarne,13
139,Gravid,13
140,haigustused,13
141,posit,13
142,minores,13
143,pindluumise,13
144,sääreluumise,13
145,traumatica,13
146,fracturam,13
147,pristinus,13
148,magna,13
149,Occlusio,13
150,Klebsiella,13
151,Missed,13
152,Hypertensio,13
153,Endometriosis,13
154,E.Coli,13
155,pedis,13
156,disci,13
157,düsfunktsioon,12
158,Preprol,12
159,türeoidiit,12
160,vaginoos,12
161,perinei,12
162,demüelin,12
163,defekatsioon,12
164,Diabetes,12
165,tibiae,12
166,dextra,12
167,posttraumatica,12
168,trikuspidaal,12
169,Põlvekontusioon,12
170,Debilitas,12
171,dolorum,12
172,persisteeruv,12
173,Partus,12
174,Paikmega,11
175,Chondromalacia,11
176,capitis,11
177,Pseudomonas,11
178,sensorineuraalne,11
179,neevus,11
180,luksatsioon,11
181,Gleason,11
182,myocardii,11
183,Afaakia,11
184,Adipositas,11
185,endometrioos,11
186,Stenosis,11
187,grade,11
188,pleuraefusioon,11
189,Pneumonia,11
190,poplitea,11
191,status,11
192,Gastritis,11
193,spondüloartroos,11
194,mmol,11
195,Hemiparesis,11
196,minoris,11
197,eGFR,11
198,Stimulatio,11
199,Dermatofütoos,10
200,nahaseenhaigustu,10
201,Kapsulaarne,10
202,pseudoeksfoliatsiooniga,10
203,primaria,10
204,Bilat,10
205,partum,10
206,osteokondroos,10
207,Instabilitas,10
208,konjuktiviidiga,10
209,gonartroos,10
210,seinaläbine,10
211,palp,10
212,gravis,10
213,Subkapsulaarne,10
214,pulmonaalhüpertensioon,10
215,medicamentosa,10
216,ataksia,10
