analysis_name,t_lyhend,t_nimetus,kasutatav_nimetus,loinc_code,substrate,evidence
40+ mehe lisapakett,"S,P-40+ mehe lisapakett",40+ mehe lisapakett,40+ mehe lisapakett,L-3540,,kasutatav_nimetus
50+ naise lisapakett,"S,P-50+ naise lisapakett",50+ naise lisapakett,50+ naise lisapakett,L-3539,,t_nimetus
"A-, A(H1N1)-, B-gripi viiruse RNA paneel","XXX-Influenza A, B, A(H1N1) RNA panel","A-, A(H1N1)-, B-gripi viiruse RNA (paneel)","A-, A(H1N1)-, B-gripi viiruse RNA paneel",L-3019,,kasutatav_nimetus
"A-, A(H1N1)-, B-gripi viiruse RNA (paneel)","XXX-Influenza A, B, A(H1N1) RNA panel","A-, A(H1N1)-, B-gripi viiruse RNA (paneel)","A-, A(H1N1)-, B-gripi viiruse RNA paneel",L-3019,,t_nimetus
AB0-alagrupid (paneel),B-AB0 subgroups panel,AB0-alagrupid (paneel),AB0 alagruppide paneel,L-5260,,t_nimetus
AB0 alagruppide paneel,B-AB0 subgroups panel,AB0-alagrupid (paneel),AB0 alagruppide paneel,L-5260,,kasutatav_nimetus
AB0 ja RhD (kinnitav uuring),B-ABO-RhD conf panel,AB0-veregrupp ja RhD antigeen (kinnitav uuring),AB0 ja RhD (kinnitav uuring),34530-6,Bld,kasutatav_nimetus
AB0 ja RhD (kontrolluuring),B-AB0-RhD ctrl panel,AB0-veregrupp ja RhD antigeen (kontrolluuring),AB0 ja RhD (kontrolluuring),L-2623,,kasutatav_nimetus
"AB0 (kontrolluuring, paneel)",B-AB0 ctrl panel,"AB0-veregrupp (kontrolluuring, paneel)","AB0 (kontrolluuring, paneel)",L-4394,,kasutatav_nimetus
"AB0, RhD, erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)","B-ABO-RhD, RBC Ab screen I, II, III panel","AB0-veregrupp, RhD antigeen ja erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)","AB0, RhD, erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga (paneel)",L-3548,,kasutatav_nimetus
"AB0, RhD ja DAT paneel lootel",B-AB0-RhD-DAT-fetal panel,"AB0-veregrupp, RhD antigeen ja otsene anitglobuliintest lootel (paneel)","AB0, RhD ja DAT paneel lootel",L-4900,,kasutatav_nimetus
"AB0, RhD ja DAT paneel vastsündinul",B-AB0-RhD-DAT-n panel,"AB0-veregrupp, RhD antigeen ja otsene antiglobuliintest vastsündinul (paneel)","AB0, RhD ja DAT paneel vastsündinul",L-170,,kasutatav_nimetus
