parameter_name,t_lyhend,t_nimetus,kasutatav_nimetus,loinc_code,substrate,evidence
10hU-Alb,10hU-Alb,Albumiin 10 tunni uriinis,Albumiin 10 h uriinis,49023-5,Urine,t_lyhend
10hU-Alb Albumiin 10 tunni uriinis,10hU-Alb,Albumiin 10 tunni uriinis,Albumiin 10 h uriinis,49023-5,Urine,t_lyhend + t_nimetus
11-desoksükortikosteroon,S-11-Desoxycorticosterone,11-desoksükortikosteroon seerumis,11-desoksükortikosteroon,A-4751,,kasutatav_nimetus
11-desoksükortikosteroon seerumis,S-11-Desoxycorticosterone,11-desoksükortikosteroon seerumis,11-desoksükortikosteroon,A-4751,,t_nimetus
11q23 KMT2A muutused (FISH),XXX-11q23 KMT2A break FISH,11q23 KMT2A muutused (FISH),11q23 KMT2A muutused (FISH),35454-8,Bld,kasutatav_nimetus
12p13 ETV6  muutused (FISH),XXX-12p13 ETV6 break FISH,12p13 ETV6  muutused (FISH),12p13 ETV6  muutused (FISH),A-3664,,kasutatav_nimetus
12q13 GLI trisoomia 12 (FISH),XXX-12q13 GLI FISH,GLI (12. kromosoomi trisoomia) (FISH),12q13 GLI trisoomia 12 (FISH),21770-3,Bld,kasutatav_nimetus
14q32 IGH  muutused (FISH),XXX-14q32 IGH break FISH,14q32 IGH  muutused (FISH),14q32 IGH muutused (FISH),A-4959,,t_nimetus
14q32 IGH muutused (FISH),XXX-14q32 IGH break FISH,14q32 IGH  muutused (FISH),14q32 IGH muutused (FISH),A-4959,,kasutatav_nimetus
15. kromosoomi trisoomia (FISH),XXX-Trisomy 15 FISH,15. kromosoomi trisoomia (FISH),Trisoomia 15 (FISH),34503-3,Bld,t_nimetus
16q22 CBFB muutused (FISH),XXX-(16q22) CBFB t(16;16); inv(16) FISH,16q22 CBFB muutused (FISH),16q22 CBFB muutused (FISH),77034-7,Bld,kasutatav_nimetus
17-alfahüdroksüprogesteroon seerumis/plasmas,"S,P-17-OHP",17-alfahüdroksüprogesteroon seerumis/plasmas,17-OHP,14569-8,Ser/Plas,t_nimetus
17-alfahüdroksüprogesteroon seerumis/plasmas (pärast mõjutust),"S,P-17-OHP (post xxx challenge)",17-alfahüdroksüprogesteroon seerumis/plasmas (pärast mõjutust),17-OHP (pärast mõjutust),51420-8,Ser/Plas,t_nimetus
17-hüdroksüpregnenoloon,"S,P-17-OH-Preg",17-hüdroksüpregnenoloon seerumis/plasmas,17-hüdroksüpregnenoloon,6765-2,Ser/Plas,kasutatav_nimetus
17-hüdroksüpregnenoloon seerumis/plasmas,"S,P-17-OH-Preg",17-hüdroksüpregnenoloon seerumis/plasmas,17-hüdroksüpregnenoloon,6765-2,Ser/Plas,t_nimetus
17-OHP,"S,P-17-OHP",17-alfahüdroksüprogesteroon seerumis/plasmas,17-OHP,14569-8,Ser/Plas,kasutatav_nimetus
17-OHP (pärast mõjutust),"S,P-17-OHP (post xxx challenge)",17-alfahüdroksüprogesteroon seerumis/plasmas (pärast mõjutust),17-OHP (pärast mõjutust),51420-8,Ser/Plas,kasutatav_nimetus
18:2 oomega-6-linoleenhape,"S,P-18:2 LA",18:2 oomega-6-linoleenhape seerumis/plasmas,18:2 oomega-6-linoleenhape,A-4385,,kasutatav_nimetus
18:2 oomega-6-linoleenhape seerumis/plasmas,"S,P-18:2 LA",18:2 oomega-6-linoleenhape seerumis/plasmas,18:2 oomega-6-linoleenhape,A-4385,,t_nimetus
18:3 oomega-3-alfalinoleenhape,"S,P-18:3 ALA",18:3 oomega-3-alfalinoleenhape seerumis/plasmas,18:3 oomega-3-alfalinoleenhape,A-4382,,kasutatav_nimetus
18:3 oomega-3-alfalinoleenhape seerumis/plasmas,"S,P-18:3 ALA",18:3 oomega-3-alfalinoleenhape seerumis/plasmas,18:3 oomega-3-alfalinoleenhape,A-4382,,t_nimetus
18:3 oomega-6-gammalinoleenhape,"S,P-18:3 GLA",18:3 oomega-6-gammalinoleenhape seerumis/plasmas,18:3 oomega-6-gammalinoleenhape,A-4386,,kasutatav_nimetus
18:3 oomega-6-gammalinoleenhape seerumis/plasmas,"S,P-18:3 GLA",18:3 oomega-6-gammalinoleenhape seerumis/plasmas,18:3 oomega-6-gammalinoleenhape,A-4386,,t_nimetus
1p36 mikrodeletsioonisündroom (FISH),B-1p36 FISH,1p36 mikrodeletsioon verest (FISH),1p36 mikrodeletsioonisündroom (FISH),45180-7,Bld,kasutatav_nimetus
1p36 mikrodeletsioon verest (FISH),B-1p36 FISH,1p36 mikrodeletsioon verest (FISH),1p36 mikrodeletsioonisündroom (FISH),45180-7,Bld,t_nimetus
1. tüüpi müotooniline düstroofia (MD) - DMPK geeni patoloogilised trinukleotiidsed kordused (hübridiseerimine),B-DMPK repeats hybr,1. tüüpi müotooniline düstroofia (MD) - DMPK geeni patoloogilised trinukleotiidsed kordused (hübridiseerimine),1. tüüpi müotooniline düstroofia (MD) - DMPK geeni patoloogilised trinukleotiidsed kordused (hübridiseerimine),35351-6,Bld,kasutatav_nimetus
