analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count
Hematoloogilised uuringud,,Va-Myc,RDW%,,7
Histoloogia,,1342,Lokatsioon,,36
Hematoloogilised uuringud,,3477,PLCR,,2
Hematoloogilised uuringud,,71678,RDW%,,4
Histoloogia,,S-ae3,Arhiivi number,,1
Hematoloogilised uuringud,,S-GTT-e,RDW%,,7
Histoloogia,,S-a-HAV,Kirjeldus,,2
Hematoloogilised uuringud,,Tsinkveres,PLCR,,1
Histoloogia,,Tsinkseerumis,Arhiivi number,,5
Histoloogia,,S-TPO-ak,Kirjeldus,,1
Histoloogia,,P1-ATIII,Lokatsioon,,12
Hematoloogilised uuringud,,69588,PLCR,,35
Histoloogia,,30081,Arhiivi number,,1
Histoloogia,,S2-IgE-FP7,Kirjeldus,,13
Hematoloogilised uuringud,,1001,PLCR,,1525
Histoloogia,,Urobilinogeen,Diagnoos 1,,8
Hematoloogilised uuringud,,Un-Pcp,RDW%,,1
Histoloogia,,S1_-_Digox,Kirjeldus,,2
Hematoloogilised uuringud,,1715,RDW%,,2
Histoloogia,,125,Diagnoos 1,,46
Hematoloogilised uuringud,,30151,RDW%,,3
Hematoloogilised uuringud,,4847,RDW%,,4
Histoloogia,,109,Lokatsioon,,835
Hematoloogilised uuringud,,fS-RF,PLCR,,10
Histoloogia,,Lümfotsüüdid,Arhiivi number,,704
Hematoloogilised uuringud,,Tsinkpaastuplasmas,PLCR,,1
Histoloogia,,S-CRP-hs,Arhiivi number,,5
Hematoloogilised uuringud,,3882,RDW%,,5
Histoloogia,,B-115,Kirjeldus,,9
Hematoloogilised uuringud,,1913,PLCR,,17
Histoloogia,,Kepptuumsed,Diagnoos 1,,1
Histoloogia,,ChlamydophilapneumoniaevastaneIgMseerumis,Arhiivi number,,52
Histoloogia,,B1-CBC,Diagnoos 1,,1901
Histoloogia,,S-f245_IgE,Kirjeldus,,12
Hematoloogilised uuringud,,"S,P-CA_19-9",RDW%,,32
Histoloogia,,fP-GlucGTT0min,Kirjeldus,,10
Histoloogia,,44995,Arhiivi number,,1
Histoloogia,,S2-IgE-EP1,Lokatsioon,,7
Hematoloogilised uuringud,,_Adeno,PLCR,,8
Histoloogia,,U-Barbarbituraadiduriinis,Diagnoos 1,,3
Hematoloogilised uuringud,,Chol.,PLCR,,39
Hematoloogilised uuringud,,ChltrachomatisIgA,RDW%,,2
Histoloogia,,605,Diagnoos 1,,4606
Histoloogia,,69576,Lokatsioon,,2
Hematoloogilised uuringud,,"S,P-Prol",RDW%,,1
Hematoloogilised uuringud,,INHIsoniazid,RDW%,,8
Hematoloogilised uuringud,,3,RDW%,,1209
Histoloogia,,Cm-Mg-PCR,Lokatsioon,,83
Hematoloogilised uuringud,,59523,RDW%,,1
Hematoloogilised uuringud,,S-ktEBVEpsteinBarrikiirtest,PLCR,,13
Hematoloogilised uuringud,,4601,PLCR,,15
Hematoloogilised uuringud,,UProt/CreValgujakreat.suheuriinis,PLCR,,5
Hematoloogilised uuringud,,71397,PLCR,,4
Histoloogia,,Nm-A/H1N1,Lokatsioon,,1
Histoloogia,,2200,Lokatsioon,,241
Histoloogia,,7793,Arhiivi number,,1
Hematoloogilised uuringud,,30130,PLCR,,65
Histoloogia,,BASO#,Kirjeldus,,6087
Hematoloogilised uuringud,,1645,PLCR,,14
Histoloogia,,780,Diagnoos 1,,939
Histoloogia,,45023,Diagnoos 1,,2
Histoloogia,,7598,Kirjeldus,,14
Histoloogia,,71880,Lokatsioon,,961
Histoloogia,,S1-aTBEG,Lokatsioon,,2
Hematoloogilised uuringud,,parabeenidesegu(Paraben-Mix)16%,RDW%,,1
Hematoloogilised uuringud,,IgE(ImmuunoglobuliinE),PLCR,,108
Histoloogia,,146170,Lokatsioon,,12
Histoloogia,,hGH/Somatotropiinkasvuh,Kirjeldus,,21
Hematoloogilised uuringud,,S-K,PLCR,,4589
Histoloogia,,3533,Arhiivi number,,2
Histoloogia,,7857,Lokatsioon,,1
Hematoloogilised uuringud,,4253,RDW%,,7
Histoloogia,,S-S.flex_1-5,Diagnoos 1,,5
Histoloogia,,Cx-HPV-PCR(negat),Arhiivi number,,5
Histoloogia,,3,Lokatsioon,,1209
Histoloogia,,131,Lokatsioon,,94
Hematoloogilised uuringud,,40178,PLCR,,1
Histoloogia,,Um-Uu-PCR,Lokatsioon,,3
Histoloogia,,S-Cort ,Kirjeldus,,7
Histoloogia,,40448,Lokatsioon,,1
Histoloogia,,4275,Arhiivi number,,1
Histoloogia,,162,Kirjeldus,,9
Histoloogia,,S-CgA/KromograniinA(CgA),Diagnoos 1,,6
Hematoloogilised uuringud,,B3-ABO+rH(D),RDW%,,39
Histoloogia,,S-Prol/Prolaktiin,Kirjeldus,,72
Histoloogia,,3626,Diagnoos 1,,7
Histoloogia,,B-T/B-LyRakuliseimmuunsusehinnang,Kirjeldus,,2
Histoloogia,,S-AmylP,Kirjeldus,,500
Histoloogia,,HantaviirusIgM,Diagnoos 1,,1
Histoloogia,,S-CA_125,Lokatsioon,,1206
Histoloogia,,Br-M_tuberculosis-Bac,Kirjeldus,,6
Hematoloogilised uuringud,,59824,RDW%,,1
Hematoloogilised uuringud,,3630,RDW%,,7
Histoloogia,,70384,Diagnoos 1,,153
Histoloogia,,S-aHIV-1/2,Arhiivi number,,15
Hematoloogilised uuringud,,5700,RDW%,,56
