parameter_unit,parameter_unit_clean,loinc_unit,evidence
-,-,,
.,.,,
+,+,,
‰,‰,,
%0,%0,,
0.5 - 2. 0%,0.5- 2. 0%,,
/100/L,/100L,,
10*12/,10000000000000,,
10^12/mikrol,10E12/uL,,
10*3 µl,10E3/uL,,
*10³/µl,10E3/uL,,
10*3mik/L,10*3mik/L,,
10*3mik/l,10*3mik/l,,
10^3/uL,10E3/uL,,
10 3/uL,10E3/uL,,
10*6/L,10*6/L,,
10'6mik/L,10'6mik/L,,
10*9 g/L,10E9g/L,,
10/9 l,10/9l,,
10e3/uL,10E3/uL,,
10 g/l,10g/L,,
10g/l,10g/L,,
10 IU/l,10IU/L,,
10^/L,10^/L,,
10 l,10L,,
10 ng/ml,10ng/mL,,
10 U/l,10U/L,,
1:100 WBC,1:100WBC,,
"1,2,3","1,2,3",,
Alb mg/mmol Cre,Albmg/mmol Cre,,
<ANONYM id=0 type=per morph=_H_ sg n/>/mL,<ANONYMid=0 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=0 type=per morph=_H_ sg n/>/ml,<ANONYMid=0 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=0 type=per morph=_I_ /> unit,<ANONYMid=0 type=per morph=_I_ /> unit,,
<ANONYM id=0 type=per morph=_I_ /> ühik,<ANONYMid=0 type=per morph=_I_ /> ühik,,
<ANONYM id=0 type=per morph=_Y_ ?/> U/l,<ANONYMid=0 type=per morph=_Y_ ?/> U/l,,
<ANONYM id=0 type=per morph=_Y_ ?/> U/ml,<ANONYMid=0 type=per morph=_Y_ ?/> U/ml,,
<ANONYM id=10 type=per morph=_H_ sg n/>/mL,<ANONYMid=10 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=10 type=per morph=_H_ sg n/>/ml,<ANONYMid=10 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=10 type=per morph=_I_ /> unit,<ANONYMid=10 type=per morph=_I_ /> unit,,
<ANONYM id=10 type=per morph=_I_ /> ühik,<ANONYMid=10 type=per morph=_I_ /> ühik,,
<ANONYM id=10 type=per morph=_Y_ ?/> U/ml,<ANONYMid=10 type=per morph=_Y_ ?/> U/ml,,
<ANONYM id=11 type=per morph=_H_ sg n/>/mL,<ANONYMid=11 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=11 type=per morph=_H_ sg n/>/ml,<ANONYMid=11 type=per morph=_H_ sg n/>/ml,,
<ANONYM id=11 type=per morph=_I_ /> unit,<ANONYMid=11 type=per morph=_I_ /> unit,,
<ANONYM id=11 type=per morph=_I_ /> ühik,<ANONYMid=11 type=per morph=_I_ /> ühik,,
<ANONYM id=11 type=per morph=_Y_ ?/> U/ml,<ANONYMid=11 type=per morph=_Y_ ?/> U/ml,,
<ANONYM id=12 type=per morph=_H_ sg n/>/mL,<ANONYMid=12 type=per morph=_H_ sg n/>/mL,,
<ANONYM id=12 type=per morph=_I_ /> unit,<ANONYMid=12 type=per morph=_I_ /> unit,,
<ANONYM id=12 type=per morph=_I_ /> ühik,<ANONYMid=12 type=per morph=_I_ /> ühik,,
<ANONYM id=13 type=per morph=_H_ sg n/>/mL,<ANONYMid=13 type=per morph=_H_ sg n/>/mL,,
