dirty_code	loinc_code(T-luhend)
aB-ABB	aB-ABB panel
B-CBC+Diff	B-CBC-3Diff,B-CBC-5Diff
cB-Gluc-p	fcB-Gluc
B1-A3Diff	B-CBC-3Diff
B-A3Diff	B-CBC-3Diff
aB-Elektrolüüdid	aP-Electrolytes panel
B-Hemo	B-Smear-m panel
HGB	B-Hb
B-CBC-Diff	B-CBC-3Diff,B-CBC-5Diff
U-Sedim	U-Sed-m panel
aB-tO2	aB-O2
aB-ABE	aB-BE
Laktaat_arteriaalses_plasmas	aP-Lac
LCR	B-LCR
LYMPH#	B-Lymph#
lymph#	B-Lymph#
LYM#	B-Lymph#
LYMPH%	B-Lymph%
lymph%	B-Lymph%
LYM%	B-Lymph%
Albumiin_plasmas	S,P-Alb
Albumiin_seerumis	S,P-Alb
BASO%_Basofiilide_suhtarv	B-Baso%
B-Basofüülid_%	B-Baso%
EO%_Eosinofiilide_suhtarv	B-Eo%
Hct B-Hct	B-Hct
Hct	B-Hct
HCT(hematokrit)	B-Hct
HCT_Hematokritt	B-Hct
HGB	B-Hb
HGB_Hemoglobiin	B-Hb
HGB(hemoglobiin)	B-Hb
PLT_Trombotsüüdid	B-Plt
U-Alb/U-CreaAlbumiinijakreatiniinisuheuriinis 	U-Alb/U-Crea
U-Prot_	U-Prot
WBC_Leukotsüüdid	B-WBC
C-reaktiivne valk plasmas	S,P-CRP
