,ORG,PER,LOC
"('Leedu',)",6.0,,
"('Eesti',)",68.0,,10.0
"('Tallinna',)",55.0,,8.0
"('Euroopa',)",24.0,,17.0
"('Läti',)",5.0,,
"('ASi', 'Lõhmus', 'Haavel', '&')",1.0,,
"('Trigon',)",1.0,,
"('Q',)",10.0,,
"('Ameerika',)",1.0,,6.0
"('ASis', 'Repo')",1.0,,
"('Repo',)",1.0,1.0,
"('Balti',)",1.0,,6.0
"('Eesti', 'Väärtpaberite')",1.0,,
"('Tartu',)",15.0,,2.0
"('Lõuna-Eesti',)",3.0,,
"('ASi',)",2.0,,
"('AS',)",16.0,,
"('ERA',)",3.0,,
"('Lõunatööstuse',)",2.0,,
"('ASi', 'Werol')",2.0,,
"('Isamaale', 'ja', 'Vabadusele', '/')",2.0,,
"('Rahvaerakonna', 'Andris')",1.0,,
"('Araabia',)",1.0,,
"('Eurospordi',)",1.0,,
"('Eurosport',)",2.0,,
"('Saksamaa', 'Föderaalne')",1.0,,
"('ES',)",1.0,,
"('Äriteenus',)",2.0,,
"('Uue',)",2.0,,
"('DFDS', 'Tor')",1.0,,
"('AS-i',)",5.0,,
"('AS', 'Suure-Jaani')",3.0,,
"('Teetöötajate',)",1.0,,
"('Lietuvos',)",2.0,,
"('Läti', 'riikliku', 'energeetikafirma')",1.0,,
"('Talis', 'Linkaits')",1.0,,
"('Zorzs', 'Tikmers', 'Läti')",1.0,,
"('Zigmunds', 'Krastins')",1.0,,
"('Juris',)",1.0,,
"('Isamaale', 'ja')",1.0,,
"('Talis',)",1.0,,
"('Riia',)",1.0,,
"('Poola', 'Kredyt', 'Bank')",1.0,,
"('Optiva',)",2.0,,
"('Merita',)",2.0,1.0,
"('Hansatee',)",1.0,,
"('AS-is',)",1.0,,
"('Viking',)",2.0,,
"('Mažeikiu',)",1.0,7.0,
"('Williams',)",1.0,1.0,
"('Narva',)",1.0,,1.0
"('Seesam', 'Rahvusvaheline', 'Kindlustuse')",1.0,,
"('Salva', 'Kindlustuse', ""AS'i"")",1.0,,
"('AS', 'Sampo', 'Eesti')",1.0,,
