,Index,Entity,PER,ORG,LOC
60,10568,Küpros,0.0,0.0,19.0
61,784,Argentina,2.0,8.0,18.0
62,10803,Sudaan,0.0,0.0,17.0
63,10385,Nigeeria,0.0,0.0,16.0
64,10678,Liibüa,0.0,0.0,15.0
65,10653,Kuveit,0.0,0.0,15.0
66,10776,Ecuador,0.0,0.0,14.0
67,11165,Somaalia,0.0,0.0,14.0
68,10436,Egiptus,0.0,0.0,14.0
69,10444,Põhja-Korea,0.0,0.0,14.0
70,10730,Tšehhi,0.0,0.0,13.0
71,10764,Peruu,0.0,0.0,13.0
72,10591,Malta,0.0,0.0,12.0
73,11229,Kõrgõzstan,0.0,0.0,11.0
74,10811,Aserbaidžaan,0.0,0.0,10.0
75,10567,Armeenia,0.0,0.0,10.0
76,10833,Katar,0.0,0.0,10.0
77,10380,Keenia,0.0,0.0,10.0
78,10866,Moldova,0.0,0.0,10.0
79,10601,Tšiili,0.0,0.0,8.0
