,entity,label,count
0,"('Ühendriigid',)",LOC,1
1,"('Leedusse',)",LOC,1
2,"('Leedu', 'välisministeeriumi')",ORG,1
3,"('Interfaxile',)",ORG,1
4,"('Bill', 'Clinton')",PER,2
5,"('Leedu',)",LOC,49
6,"('Leedus',)",LOC,19
7,"('USA',)",LOC,53
8,"('Lääne-Euroopa',)",LOC,1
9,"('Jaapanil',)",LOC,1
10,"('Kanadal',)",LOC,1
11,"('Austraalial',)",LOC,1
12,"('Uus-Meremaal',)",LOC,1
13,"('Ungaril',)",LOC,1
14,"('Poolal',)",LOC,1
15,"('Tšehhil',)",LOC,1
16,"('OPEC',)",ORG,2
17,"('Saudi', 'Araabia')",LOC,3
18,"('Londonis',)",LOC,4
19,"('Riyadh',)",PER,1
20,"('Viinis',)",LOC,1
21,"('Ühispanga',)",ORG,9
22,"('Aivo', 'Kanguse')",PER,1
23,"('Leedu', 'Telekomi')",ORG,1
24,"('Eesti', 'Telekomi')",ORG,3
25,"('Norma',)",ORG,8
26,"('Tallinna',)",LOC,67
27,"('Jüri', 'Mõisa')",PER,3
28,"('Mõis',)",PER,6
29,"('BNS-ile',)",ORG,14
30,"('Mõisa',)",PER,6
31,"('Rein', 'Voogi')",PER,1
32,"('Voog',)",PER,2
33,"('Eesti',)",LOC,189
34,"('Tallinna', 'Vee')",ORG,2
35,"('Soome',)",LOC,38
36,"('Kauppalehti',)",ORG,1
37,"('Soomet',)",LOC,2
38,"('Venemaa',)",LOC,42
39,"('Aiwa',)",ORG,1
40,"('Electrolux',)",LOC,1
41,"('Peterburgi',)",LOC,1
42,"('Moskvasse',)",LOC,4
43,"('Euroopa', 'Liidu')",ORG,8
44,"('EL',)",ORG,9
45,"('Vene',)",LOC,39
46,"('Soomes',)",LOC,14
47,"('Euroopa',)",LOC,30
48,"('Venemaale',)",LOC,4
49,"('Siberi',)",LOC,1
50,"('Kaug-Idast',)",LOC,1
51,"('Lätis',)",LOC,17
52,"('Läti', 'statistikaamet')",ORG,1
53,"('Tallinna', 'Soojuse')",ORG,3
54,"('Ivar', 'Virkus')",PER,1
55,"('ETAle',)",ORG,9
56,"('ASi', 'Lõhmus', 'Haavel', '&', 'Viisemann')",ORG,1
57,"('LHV',)",ORG,1
58,"('Heiki', 'Kivimaa')",PER,1
59,"('Trigon', 'Kapitali')",ORG,1
60,"('Mihkel', 'Pärnoja')",PER,1
61,"('Q', ""GSM'il"")",ORG,1
62,"('EMT',)",ORG,7
